,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,Sao Tome and Principe,STP,1797.257493,1804.320973,1823.745598,1852.257081,1871.715918,1901.791233,1956.404347,1975.067227,1989.817084,1987.511835,2014.735396,1988.079215,1969.962053,1937.174145,1924.911358,1919.401488,1848.752258,1788.49107,1793.781071,1774.506261,1748.660465,1729.202058,1744.215542,1717.224335,1703.48982,1686.634017,1678.836227
1,Poland,POL,540076.0497,557317.6622,548226.617,535673.133,536425.6778,540498.619,532975.6645,534011.1741,531118.918,539294.2604,527692.4812,522531.1347,519644.356,521265.1575,527890.6656,535520.0945,543736.1315,553467.4418,556952.6165,560555.7448,555248.8486,558163.6494,565875.374,564167.6326,554343.0954,560247.4121,566211.0154
2,Marshall Islands,MHL,473.4437695,484.3445905,501.7349035,511.7332952,515.9324101,535.9932535,546.2967678,571.0315702,592.3389489,611.1806849,637.8264806,646.338218,669.9384369,696.2057955,724.0481548,747.6586664,773.7440946,786.8156209,804.867178,819.9434991,834.9536603,848.9869054,865.9667915,878.0782842,891.4488916,902.5626298,934.3515489
3,Palestine,PSE,12380.40391,12679.49088,12886.87971,12676.33066,13130.64337,13312.46491,13745.69179,14314.63623,15048.07104,15896.56741,17568.94277,17640.03697,18945.54363,19488.88048,19759.53158,19688.33125,20720.98601,21476.13242,22456.89514,24235.62583,24193.0334,25585.72779,26772.61959,27746.82553,33639.2996,30329.84633,31277.74643
4,Luxembourg,LUX,5648.792041,5593.077858,5603.365306,5579.431924,5529.607562,5513.093253,5509.098947,5522.155788,5429.664774,5385.198932,5288.940492,5257.108595,5269.169305,5353.141123,5248.456084,5199.714948,5181.013125,5172.436035,5182.641385,5271.10055,5393.18583,5534.096976,5599.034384,5683.695864,5942.355499,6103.478449,6260.904505
5,Tajikistan,TJK,71316.00359,70448.21583,81999.68026,70584.56464,72251.56424,71790.00777,75609.92354,68519.63966,67982.03768,65346.44974,63725.09996,62766.89815,61613.26268,61057.54322,60449.66427,59804.22061,58809.14813,58499.26195,58852.51387,58828.94191,59825.84713,60717.2158,60285.66629,59857.20025,60358.2971,60890.26166,61646.03467
6,Belarus,BLR,150040.4868,155626.5763,161704.4946,172078.7476,176592.3226,181465.2319,181850.5703,184049.2703,185782.1622,188117.5156,184412.8836,187739.055,191316.487,187846.1019,186134.4521,185567.6794,181371.9477,176719.4269,175951.6895,176889.3429,177599.6867,176276.7375,165329.5125,160996.8697,155736.7884,155599.2482,156464.8543
7,New Zealand,NZL,38466.46511,39327.47114,39782.77702,39947.13477,40443.77919,40877.17125,41291.52289,40950.27894,40695.94438,41030.99279,40970.16997,41747.09208,41891.94346,42032.22334,42381.28136,42157.8605,43006.96031,43537.34823,44167.71278,44267.58642,44400.90413,45407.96132,45680.70767,45989.05789,46922.01372,48398.15951,49713.74688
8,Norway,NOR,62334.75785,62561.85029,63088.78931,63967.3019,63159.91022,63144.56081,62555.18339,62806.87512,63249.43579,63590.55873,63272.21589,63372.80739,63344.19057,62348.24978,61350.15711,61187.09359,61305.07491,61730.94268,61844.59258,61927.72075,62159.9122,62503.92274,62228.96122,61677.99999,61179.28584,61825.60119,62805.34246
9,Kiribati,KIR,1336.060887,1337.319512,1343.28894,1354.67788,1345.178649,1346.499342,1346.965971,1345.078564,1351.31309,1396.037469,1407.762392,1410.41082,1424.276698,1442.534097,1456.805175,1475.677029,1501.267808,1548.532119,1559.337643,1571.029201,1597.414034,1616.81263,1635.700842,1662.4696,1688.956905,1708.644117,1745.635201
10,Sierra Leone,SLE,106907.7614,108310.3426,105594.5025,102175.4872,104940.5841,105613.9693,98611.98189,100005.7663,107426.8249,107513.9177,101131.7359,102457.6158,105940.8409,109115.7115,113084.5254,116269.2231,118069.0788,119335.1285,119136.6907,118715.0804,117514.2676,115336.328,114226.4111,111345.4955,109176.0636,108466.2368,108081.3921
11,Kenya,KEN,335314.5817,357562.5317,384452.4856,413831.7635,446393.7906,480327.4172,509875.7555,539775.022,568205.2338,582855.6418,600882.9312,609796.8564,618043.7825,632545.9206,631429.1451,620296.6957,602943.5197,583418.6372,564531.1867,547466.9329,531563.5597,513307.7298,499819.3311,496669.4359,489888.8585,483527.9577,479909.3617
