,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Afghanistan,AFG,18.1,17.42,16.78,16.2,15.68,15.23,14.86,14.55,14.26,13.99,13.7,13.38,13.03,12.68,12.32,11.96,11.63,11.32,11.04,10.76,10.5,10.23,9.95,9.67,9.39
1,Albania,ALB,4.06,3.88,3.73,3.6,3.46,3.32,3.18,3.03,2.89,2.75,2.62,2.49,2.36,2.25,2.15,2.05,1.95,1.87,1.79,1.73,1.66,1.6,1.55,1.49,1.44
2,Algeria,DZA,4.68,4.57,4.49,4.41,4.33,4.25,4.18,4.11,4.06,4.02,3.97,3.89,3.78,3.65,3.51,3.36,3.21,3.07,2.94,2.83,2.73,2.66,2.61,2.58,2.56
4,Angola,AGO,22.6,22.59,22.6,22.58,22.55,22.48,22.4,22.26,22.08,21.89,21.67,21.41,21.17,20.92,20.67,20.39,20.05,19.64,19.2,18.73,18.25,17.73,17.22,16.71,16.22
6,Argentina,ARG,2.76,2.66,2.57,2.48,2.41,2.34,2.27,2.2,2.14,2.08,2.02,1.97,1.92,1.86,1.79,1.71,1.64,1.58,1.54,1.5,1.46,1.42,1.38,1.33,1.29
7,Armenia,ARM,4.98,4.75,4.52,4.29,4.08,3.87,3.68,3.5,3.33,3.17,3.01,2.87,2.73,2.59,2.46,2.34,2.22,2.11,2,1.9,1.8,1.72,1.63,1.55,1.47
8,Australia,AUS,0.92,0.86,0.81,0.77,0.73,0.7,0.68,0.66,0.65,0.64,0.62,0.61,0.6,0.6,0.59,0.57,0.56,0.54,0.52,0.5,0.48,0.45,0.43,0.41,0.39
9,Austria,AUT,0.95,0.9,0.85,0.8,0.74,0.68,0.64,0.61,0.58,0.56,0.55,0.54,0.53,0.52,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.42,0.4,0.39,0.37
10,Azerbaijan,AZE,9.47,9.5,9.54,9.57,9.55,9.43,9.21,8.86,8.42,7.93,7.4,6.88,6.38,5.93,5.52,5.17,4.86,4.58,4.33,4.1,3.9,3.73,3.57,3.42,3.29
11,Bahamas,BHS,2.35,2.25,2.16,2.06,1.96,1.87,1.78,1.7,1.64,1.59,1.57,1.55,1.55,1.54,1.54,1.53,1.51,1.48,1.45,1.42,1.39,1.35,1.32,1.28,1.24
12,Bahrain,BHR,2.3,2.27,2.2,2.1,1.96,1.81,1.66,1.52,1.41,1.32,1.26,1.21,1.18,1.15,1.12,1.09,1.05,1,0.94,0.88,0.83,0.78,0.73,0.69,0.65
13,Bangladesh,BGD,14.37,13.77,13.17,12.58,11.99,11.42,10.86,10.32,9.79,9.28,8.8,8.35,7.9,7.48,7.07,6.68,6.3,5.94,5.59,5.26,4.96,4.67,4.4,4.16,3.95
14,Barbados,BRB,1.79,1.72,1.66,1.61,1.57,1.55,1.54,1.55,1.57,1.6,1.63,1.66,1.68,1.68,1.67,1.65,1.62,1.58,1.54,1.51,1.47,1.44,1.41,1.37,1.33
15,Belarus,BLR,1.66,1.66,1.68,1.71,1.75,1.79,1.8,1.78,1.7,1.58,1.43,1.3,1.19,1.09,1.02,0.94,0.87,0.79,0.72,0.66,0.61,0.56,0.53,0.5,0.47
16,Belgium,BEL,1,0.96,0.92,0.87,0.82,0.76,0.71,0.67,0.63,0.6,0.58,0.56,0.54,0.52,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.43,0.42
17,Belize,BLZ,3.96,3.72,3.5,3.31,3.15,3.01,2.88,2.78,2.67,2.58,2.5,2.42,2.35,2.28,2.22,2.17,2.12,2.06,2.01,1.95,1.9,1.85,1.8,1.75,1.7
18,Benin,BEN,17.95,17.5,17.04,16.62,16.24,15.91,15.62,15.36,15.09,14.79,14.47,14.11,13.71,13.31,12.92,12.55,12.21,11.9,11.63,11.39,11.16,10.93,10.7,10.48,10.21
19,Bhutan,BTN,13.37,12.78,12.2,11.64,11.08,10.53,9.98,9.45,8.94,8.44,7.96,7.5,7.06,6.64,6.23,5.85,5.48,5.13,4.81,4.51,4.23,3.99,3.78,3.6,3.44
20,Bolivia,BOL,12.44,11.97,11.52,11.07,10.62,10.18,9.75,9.31,8.87,8.44,8.02,7.62,7.22,6.85,6.48,6.14,5.81,5.49,5.2,4.93,4.7,4.49,4.31,4.13,3.98
21,Bosnia and Herzegovina,BIH,1.83,1.7,1.84,1.84,1.56,1.52,1.25,1.16,1.07,0.99,0.92,0.86,0.83,0.82,0.82,0.83,0.83,0.83,0.81,0.78,0.74,0.69,0.65,0.61,0.57
22,Botswana,BWA,5.42,5.64,5.91,6.24,6.61,6.99,7.35,7.65,7.9,8.2,8.29,8.16,7.98,7.81,7.58,6.9,6.34,6.26,6.17,5.73,5.35,5.18,4.95,4.66,4.48
23,Brazil,BRA,6.08,5.82,5.54,5.25,4.94,4.63,4.32,4.02,3.72,3.45,3.2,2.96,2.74,2.54,2.36,2.19,2.04,1.92,1.81,1.72,1.66,1.62,1.6,1.6,1.62
24,Brunei,BRN,1.22,1.19,1.16,1.12,1.09,1.06,1.03,1,0.97,0.96,0.94,0.93,0.92,0.91,0.91,0.9,0.9,0.9,0.9,0.91,0.93,0.95,0.97,0.99,1.01
25,Bulgaria,BGR,2.21,2.26,2.29,2.31,2.31,2.31,2.31,2.31,2.28,2.2,2.1,2.01,1.92,1.81,1.7,1.59,1.5,1.42,1.37,1.33,1.3,1.26,1.2,1.15,1.09
26,Burkina Faso,BFA,20.22,20.18,20.21,20.2,20.11,19.94,19.7,19.4,19.13,18.85,18.57,18.24,17.83,17.31,16.63,15.83,14.94,13.99,13.04,12.14,11.35,10.69,10.14,9.66,9.24
27,Burundi,BDI,17.18,17.29,17.35,17.35,17.25,17.05,16.77,16.44,16.05,15.64,15.22,14.78,14.32,13.83,13.3,12.71,12.09,11.45,10.86,10.35,9.88,9.49,9.12,8.78,8.46
28,Cambodia,KHM,11.73,11.74,11.78,11.86,12,12.15,12.26,12.25,12.04,11.57,10.83,9.87,8.83,7.88,7.13,6.54,6.04,5.58,5.15,4.73,4.31,3.93,3.58,3.29,3.06
29,Cameroon,CMR,13.8,14,14.28,14.6,14.9,15.18,15.4,15.53,15.53,15.38,15.04,14.57,14.02,13.47,12.96,12.51,12.07,11.66,11.28,10.9,10.48,10.1,9.74,9.39,9.06
30,Canada,CAN,0.83,0.8,0.77,0.74,0.72,0.69,0.67,0.65,0.64,0.63,0.62,0.62,0.62,0.61,0.61,0.61,0.6,0.59,0.58,0.57,0.56,0.54,0.53,0.52,0.5
31,Cape Verde,CPV,6.27,6.1,6,5.92,5.81,5.61,5.3,4.9,4.43,3.96,3.55,3.22,2.99,2.85,2.78,2.77,2.79,2.81,2.82,2.81,2.78,2.73,2.66,2.59,2.52
32,Central African Republic,CAF,17.65,17.62,17.6,17.61,17.64,17.67,17.7,17.69,17.65,17.57,17.48,17.35,17.19,17.03,16.84,16.62,16.39,16.13,15.82,15.42,15.02,14.62,14.21,13.85,13.4
33,Chad,TCD,21.46,21.2,20.94,20.7,20.48,20.27,20.06,19.83,19.58,19.3,19.02,18.73,18.46,18.19,17.94,17.7,17.46,17.15,16.8,16.4,16.01,15.6,15.16,14.71,14.29
34,Chile,CHL,1.91,1.77,1.64,1.51,1.4,1.31,1.25,1.22,1.2,1.15,1.09,1.03,0.98,0.95,0.93,0.91,0.9,0.89,0.89,0.88,0.88,0.87,0.86,0.84,0.83
35,China,CHN,5.38,5.33,5.24,5.1,4.93,4.75,4.56,4.36,4.15,3.93,3.69,3.43,3.16,2.89,2.63,2.4,2.19,2.01,1.85,1.7,1.57,1.45,1.34,1.23,1.14
36,Colombia,COL,3.51,3.41,3.31,3.21,3.1,3,2.89,2.79,2.69,2.6,2.51,2.43,2.36,2.29,2.22,2.15,2.09,2.03,1.97,1.91,1.85,1.8,1.74,1.69,1.64
37,Comoros,COM,12.51,12.12,11.72,11.36,11.05,10.78,10.56,10.4,10.27,10.18,10.11,10.08,10.08,10.04,9.94,9.78,9.57,9.35,9.12,8.85,8.6,8.33,8.09,7.83,7.59
38,Congo,COG,9.36,9.52,9.74,10.02,10.38,10.77,11.19,11.6,11.93,12.14,12.16,11.97,11.56,10.98,10.29,9.53,8.74,7.99,7.26,6.61,6.06,5.61,5.26,4.96,4.71
39,Costa Rica,CRI,1.69,1.65,1.61,1.58,1.55,1.52,1.5,1.48,1.44,1.38,1.3,1.22,1.16,1.1,1.07,1.04,1.03,1.03,1.03,1.02,1.02,1.01,1.01,1,0.99
40,Cote d'Ivoire,CIV,15.26,15.27,15.27,15.28,15.29,15.27,15.22,15.13,14.98,14.79,14.56,14.28,13.97,13.63,13.27,12.88,12.51,12.11,11.65,11.27,10.91,10.59,10.25,9.9,9.55
41,Croatia,HRV,1.29,1.21,1.14,1.09,1.04,1,0.96,0.93,0.89,0.86,0.83,0.8,0.77,0.74,0.71,0.68,0.65,0.62,0.59,0.56,0.54,0.51,0.49,0.47,0.45
42,Cuba,CUB,1.33,1.24,1.16,1.11,1.1,1.08,1.05,1,0.94,0.88,0.84,0.8,0.77,0.74,0.71,0.68,0.66,0.64,0.63,0.62,0.61,0.6,0.58,0.57,0.56
43,Cyprus,CYP,1.11,1.08,1.05,1.01,0.96,0.9,0.85,0.8,0.75,0.7,0.66,0.61,0.58,0.54,0.51,0.48,0.46,0.43,0.41,0.38,0.36,0.34,0.32,0.3,0.29
44,Czech Republic,CZE,1.46,1.39,1.32,1.23,1.12,1.02,0.92,0.84,0.76,0.71,0.66,0.62,0.6,0.57,0.55,0.52,0.5,0.47,0.45,0.43,0.41,0.39,0.38,0.37,0.35
45,Democratic Republic of Congo,COD,18.65,18.43,18.23,18.03,17.83,17.64,17.41,17.15,16.84,16.49,16.1,15.68,15.24,14.78,14.32,13.84,13.35,12.89,12.45,12.01,11.61,11.22,10.85,10.48,10.17
46,Denmark,DNK,0.89,0.84,0.79,0.74,0.69,0.65,0.62,0.6,0.58,0.57,0.56,0.55,0.54,0.53,0.51,0.49,0.47,0.45,0.43,0.42,0.4,0.39,0.38,0.37,0.36
47,Djibouti,DJI,11.94,11.7,11.5,11.32,11.15,11.02,10.85,10.68,10.49,10.29,10.08,9.84,9.6,9.35,9.1,8.85,8.6,8.35,8.1,7.85,7.61,7.39,7.17,6.95,6.74
49,Dominican Republic,DOM,6.02,5.79,5.56,5.34,5.12,4.92,4.73,4.55,4.39,4.25,4.13,4.01,3.91,3.83,3.75,3.68,3.61,3.55,3.49,3.43,3.38,3.33,3.27,3.22,3.15
50,Ecuador,ECU,5.69,5.41,5.15,4.88,4.63,4.39,4.16,3.96,3.77,3.59,3.44,3.31,3.19,3.09,3,2.91,2.83,2.75,2.68,2.6,2.52,2.45,2.37,2.3,2.23
51,Egypt,EGY,8.59,8.17,7.75,7.33,6.89,6.46,6.04,5.65,5.28,4.95,4.65,4.38,4.14,3.92,3.73,3.56,3.41,3.27,3.14,3.02,2.9,2.79,2.68,2.58,2.48
52,El Salvador,SLV,5.94,5.63,5.32,5.03,4.74,4.45,4.17,3.91,3.66,3.44,3.24,3.06,2.9,2.75,2.61,2.48,2.36,2.26,2.16,2.08,2,1.93,1.86,1.8,1.74
53,Equatorial Guinea,GNQ,18.95,18.58,18.2,17.83,17.46,17.12,16.76,16.39,16.01,15.61,15.21,14.79,14.38,13.96,13.54,13.12,12.69,12.27,11.84,11.46,11.09,10.73,10.37,10.03,9.74
54,Eritrea,ERI,15.14,14.5,13.82,13.12,12.41,11.73,11.08,10.48,9.92,9.4,8.91,8.46,8.04,7.65,7.29,6.95,6.63,6.32,6.04,5.79,5.56,5.35,5.16,4.97,4.81
55,Estonia,EST,2.02,1.95,1.86,1.78,1.68,1.58,1.48,1.38,1.28,1.19,1.1,1.02,0.94,0.86,0.79,0.73,0.67,0.61,0.55,0.51,0.46,0.42,0.38,0.35,0.32
56,Ethiopia,ETH,20.46,20.02,19.5,18.89,18.2,17.5,16.83,16.2,15.62,15.08,14.51,13.9,13.22,12.48,11.7,10.91,10.13,9.38,8.69,8.08,7.57,7.13,6.77,6.46,6.18
57,Fiji,FJI,2.98,2.88,2.8,2.72,2.66,2.62,2.58,2.54,2.51,2.48,2.45,2.42,2.39,2.37,2.37,2.37,2.38,2.39,2.4,2.4,2.39,2.37,2.35,2.32,2.29
58,Finland,FIN,0.67,0.64,0.61,0.58,0.55,0.52,0.49,0.47,0.46,0.44,0.43,0.42,0.41,0.4,0.39,0.38,0.36,0.35,0.33,0.32,0.3,0.29,0.27,0.26,0.24
