,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Afghanistan,AFG,17.94160004,17.24279938,16.60910034,16.04259949,15.54129944,15.09629974,14.69290009,14.30950012,13.92700043,13.53410034,13.12079926,12.68190002,12.22419968,11.75650024,11.28410034,10.81620026,10.36350021,9.934799957,9.536199951,9.170200348,8.836000061,8.529000092,8.240599823,7.963300323,7.694200134
1,Albania,ALB,4.133100128,3.964799881,3.802199936,3.648099899,3.504399872,3.372200012,3.251900101,3.140500069,3.034600067,2.931699944,2.82689991,2.714999962,2.594099998,2.464699936,2.329199982,2.193099976,2.064100075,1.949099922,1.852499962,1.775499916,1.717000008,1.673200035,1.637199974,1.603499985,1.568999958
2,Algeria,DZA,6.390599823,6.1875,6.018999863,5.870100021,5.728300095,5.585300064,5.438499832,5.292699814,5.150899887,5.011100006,4.870999908,4.729600143,4.587400055,4.444800186,4.302199936,4.159899902,4.018600082,3.879700089,3.744400024,3.613600159,3.488600159,3.370399857,3.25890007,3.153499985,3.05359993
3,Angola,AGO,25.43320007,25.28200073,25.08679962,24.83370056,24.50850067,24.09080048,23.56230011,22.92310028,22.18110046,21.34779968,20.43800049,19.47039948,18.47160034,17.46959991,16.48710022,15.53939972,14.63269958,13.76589966,12.94279938,12.17590027,11.48399963,10.88450012,10.38099976,9.970200348,9.64489975
4,Antigua and Barbuda,ATG,2.482699966,2.385499954,2.292399979,2.203100014,2.117300034,2.034799957,1.955400085,1.878899956,1.80529995,1.734300041,1.665600014,1.598799992,1.53409996,1.471899986,1.412699986,1.357999992,1.309399986,1.26789999,1.233199978,1.204599953,1.180300045,1.157999992,1.135400009,1.11079998,1.083300018
5,Argentina,ARG,2.99109993,2.92140007,2.855800056,2.792300034,2.727700043,2.655500031,2.568300056,2.463999939,2.344000053,2.212299919,2.077899933,1.952700043,1.846699905,1.766399956,1.713599968,1.686199951,1.678199959,1.679100037,1.679599953,1.675200081,1.662299919,1.639900017,1.610700035,1.577200031,1.539799976
6,Armenia,ARM,5.52859993,5.433800125,5.301100159,5.130899811,4.926100159,4.693099976,4.441500092,4.18429985,3.933599854,3.696900177,3.480899811,3.288499832,3.11590004,2.958399963,2.813899994,2.677000046,2.540999985,2.40170002,2.257299995,2.10890007,1.961400032,1.822500038,1.699399948,1.597099972,1.516399956
7,Aruba,ABW,2.243899918,2.228199959,2.213199997,2.2,2.188199997,2.177899933,2.168700027,2.160099983,2.151099968,2.140699959,2.127199936,2.109300041,2.086300087,2.058200073,2.025399971,1.988599968,1.949200058,1.909000015,1.869599915,1.831999969,1.796899986,1.764500046,1.734199905,1.705599976,1.678199959
8,Australia,AUS,0.914400005,0.868200016,0.824800014,0.786100006,0.752799988,0.725199986,0.70250001,0.683199978,0.665700006,0.649499989,0.633699989,0.618300009,0.603100014,0.58829999,0.573600006,0.559100008,0.544899988,0.531099987,0.517700005,0.504699993,0.491599989,0.477899981,0.463399982,0.448000002,0.432000017
9,Austria,AUT,0.94829998,0.896899986,0.845499992,0.793900013,0.742700005,0.693900013,0.649900007,0.612799978,0.583599997,0.562200022,0.547300005,0.536800003,0.527899981,0.518499994,0.507499981,0.494700003,0.480800009,0.467199993,0.454500008,0.442500019,0.430100012,0.415700006,0.398399997,0.377900004,0.3546
10,Azerbaijan,AZE,10.63899994,10.38410034,10.08850021,9.752100372,9.380500031,8.987799835,8.59240036,8.211299896,7.855699921,7.529199982,7.226300049,6.934200287,6.63710022,6.325,5.997000122,5.655899811,5.308200073,4.966699982,4.643500137,4.346099854,4.083499908,3.8625,3.681600189,3.537400055,3.426399994
