,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Afghanistan,AFG,8.03,7.91,7.9,7.85,7.7,7.77,7.78,7.69,7.48,7.73,7.74,7.68,7.77,7.85,7.9,7.94,7.95,8.01,8.11,8.19,8.25,8.34,8.42,8.49,8.49
1,Albania,ALB,9.32,9.29,9.3,9.31,9.32,9.32,9.34,9,9.29,9.29,9.24,9.24,9.23,9.22,9.23,9.21,9.26,9.38,9.42,9.49,9.51,9.68,9.75,9.8,9.84
2,Algeria,DZA,10.44,10.46,10.5,10.51,10.52,10.54,10.6,10.59,10.6,10.66,10.7,10.74,10.79,10.81,10.91,10.94,10.99,11.09,11.16,11.21,11.23,11.29,11.3,11.32,11.34
5,Angola,AGO,6.5,6.58,6.6,6.32,6.59,6.71,6.74,6.79,6.8,6.81,6.87,6.89,7,7.06,7.14,7.21,7.27,7.43,7.54,7.65,7.74,7.89,7.99,8.1,8.21
7,Argentina,ARG,8.73,8.76,8.79,8.84,8.9,8.92,8.94,8.97,8.99,9.03,9.07,9.1,9.1,9.12,9.17,9.19,9.21,9.23,9.27,9.31,9.32,9.38,9.41,9.44,9.48
8,Armenia,ARM,8.7,8.6,8.36,8.24,8.26,8.34,8.33,8.45,8.52,8.59,8.73,8.76,8.84,8.84,8.85,8.78,8.72,8.81,8.77,8.81,8.86,8.99,9.11,9.28,9.38
9,Australia,AUS,9.92,10,10.06,10.13,10.18,10.26,10.26,10.29,10.33,10.36,10.41,10.46,10.5,10.55,10.61,10.68,10.73,10.78,10.83,10.91,10.99,11,11.01,11.05,11.04
10,Austria,AUT,9.48,9.51,9.55,9.6,9.66,9.73,9.75,9.78,9.82,9.86,9.93,10,10.03,10.07,10.13,10.19,10.24,10.29,10.34,10.37,10.43,10.46,10.48,10.52,10.58
11,Azerbaijan,AZE,7.88,7.79,7.45,7.44,7.33,7.52,7.55,7.59,7.59,7.6,7.66,7.75,7.78,7.72,7.74,7.78,7.83,7.87,7.87,7.95,8,8.2,8.27,8.44,8.55
12,Bahamas,BHS,8.47,8.5,8.49,8.5,8.47,8.45,8.45,8.47,8.48,8.51,8.54,8.57,8.61,8.71,8.83,8.88,8.93,9.01,9.02,9.04,9,9,8.99,8.99,9
13,Bahrain,BHR,9.94,9.9,9.91,10,10.09,10.13,10.21,10.31,10.39,10.49,10.44,10.59,10.65,10.7,10.75,10.81,10.83,11.04,11.17,11.28,11.3,11.39,11.4,11.44,11.44
14,Bangladesh,BGD,8.06,7.76,8.3,8.43,8.55,8.6,8.73,8.87,9,9.14,9.15,9.23,9.3,9.38,9.47,9.5,9.5,9.56,9.63,9.68,9.64,9.75,9.74,9.78,9.83
15,Barbados,BRB,8.96,8.95,8.95,8.96,8.96,9.02,9.09,9.16,9.23,9.31,9.31,9.41,9.46,9.5,9.53,9.55,9.56,9.62,9.69,9.73,9.73,9.75,9.79,9.79,9.76
16,Belarus,BLR,9.09,8.95,8.83,8.62,8.53,8.45,8.43,8.39,8.37,8.34,8.43,8.38,8.32,8.39,8.45,8.47,8.58,8.75,8.82,8.86,8.85,8.96,9.23,9.36,9.51
17,Belgium,BEL,9.68,9.71,9.77,9.8,9.86,9.92,9.97,10.03,10.08,10.13,10.19,10.25,10.31,10.4,10.52,10.61,10.65,10.65,10.65,10.66,10.7,10.72,10.73,10.77,10.84
18,Belize,BLZ,8.8,8.73,8.69,8.61,8.54,8.52,8.49,8.34,8.31,8.27,8.23,8.18,8.26,8.32,8.4,8.47,8.52,8.58,8.63,8.69,8.76,8.77,8.77,8.77,8.78
19,Benin,BEN,8.02,7.98,8,8.02,7.98,7.96,7.88,7.92,7.92,7.93,7.94,7.9,7.93,7.95,8,8.07,8.08,8.11,8.16,8.24,8.29,8.28,8.3,8.33,8.36
21,Bhutan,BTN,8.58,8.64,8.72,8.81,8.86,8.98,9.16,9.22,9.34,9.53,9.4,9.69,9.81,9.87,9.94,9.95,10.05,10.19,10.3,10.34,10.36,10.49,10.53,10.56,10.6
22,Bolivia,BOL,7.77,7.81,7.85,7.91,8.01,8.1,8.19,8.27,8.37,8.47,8.56,8.68,8.73,8.82,8.88,8.91,8.96,9.01,9.05,9.09,9.09,9.15,9.19,9.21,9.24
23,Bosnia and Herzegovina,BIH,9.01,9,8.61,8.4,8.66,8.46,9.14,9.22,9.31,9.44,9.49,9.6,9.63,9.67,9.73,9.72,9.76,9.9,9.98,10.07,10.02,10.17,10.21,10.24,10.25
24,Botswana,BWA,8.15,8.03,7.81,7.52,7.18,6.98,6.58,6.23,5.94,5.74,5.64,5.47,5.35,5.39,5.58,5.99,6.2,6.41,6.66,7.03,7.41,7.56,7.73,8.03,8.26
25,Brazil,BRA,8.64,8.66,8.67,8.69,8.73,8.78,8.84,8.93,9.01,9.09,9.19,9.27,9.33,9.39,9.45,9.51,9.53,9.58,9.61,9.64,9.63,9.69,9.73,9.76,9.79
