,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Afghanistan,AFG,49.855999,50.626999,51.331001,51.967999,52.539001,53.055,53.533001,53.997002,54.467999,54.959,55.481998,56.043999,56.637001,57.25,57.875,58.5,59.110001,59.694,60.243,60.754002,61.226002,61.666,62.085999,62.493999,62.895
1,Albania,ALB,71.835999,71.803001,71.802002,71.860001,71.991997,72.205002,72.495003,72.837997,73.208,73.587997,73.955002,74.286003,74.574997,74.82,75.028,75.217003,75.417999,75.655998,75.943001,76.280998,76.652,77.030998,77.389,77.702003,77.962997
2,Algeria,DZA,66.724998,66.983002,67.225998,67.482002,67.774002,68.114998,68.503998,68.926003,69.366997,69.821999,70.292,70.778,71.276001,71.779999,72.280998,72.766998,73.224998,73.648003,74.031998,74.374001,74.676003,74.944,75.186996,75.417999,75.640999
3,Angola,AGO,41.695999,41.855,42.060001,42.328999,42.676998,43.125,43.695,44.384998,45.192001,46.105,47.112999,48.200001,49.341,50.507999,51.675999,52.833,53.973999,55.096001,56.188999,57.230999,58.192001,59.042,59.77,60.373001,60.858002
5,Argentina,ARG,71.565002,71.790001,72.023003,72.255997,72.488998,72.719002,72.946999,73.172997,73.397003,73.617996,73.832001,74.039001,74.236,74.424004,74.602997,74.775002,74.941002,75.105003,75.267998,75.431,75.595001,75.761002,75.926003,76.088997,76.251999
6,Armenia,ARM,67.878998,67.870003,67.989998,68.218002,68.538002,68.938004,69.403999,69.912003,70.433998,70.944,71.408997,71.800003,72.112,72.347,72.512001,72.625,72.714996,72.815002,72.945999,73.119003,73.331001,73.570999,73.814003,74.043999,74.254997
8,Australia,AUS,76.931,77.220001,77.501999,77.768997,78.021004,78.264,78.505997,78.757004,79.021004,79.300003,79.589996,79.885002,80.175003,80.452003,80.712997,80.955002,81.175003,81.376999,81.565002,81.741997,81.910004,82.072998,82.234001,82.394997,82.558998
9,Austria,AUT,75.596001,75.830002,76.063004,76.304001,76.556999,76.822998,77.100998,77.386002,77.671997,77.957001,78.238998,78.517998,78.791,79.058998,79.318001,79.566002,79.799004,80.015999,80.218002,80.406998,80.584,80.752998,80.917999,81.083,81.25
10,Azerbaijan,AZE,64.827003,64.745003,64.731003,64.809998,64.990997,65.255997,65.572998,65.899002,66.207001,66.490997,66.763,67.054001,67.390999,67.791,68.249001,68.75,69.268997,69.774002,70.237999,70.646004,70.987,71.260002,71.477997,71.655998,71.800003
11,Bahamas,BHS,70.705002,70.869003,71.010002,71.130997,71.238998,71.350998,71.482002,71.646004,71.849998,72.093002,72.370003,72.667999,72.971001,73.264,73.538002,73.787003,74.012001,74.218002,74.410004,74.591003,74.761002,74.922997,75.079002,75.230003,75.378998
12,Bahrain,BHR,72.389999,72.598,72.803001,73.005997,73.209,73.413002,73.619003,73.825996,74.032997,74.238998,74.440002,74.635002,74.821999,74.999001,75.167,75.325996,75.477997,75.625,75.769997,75.913002,76.056,76.198997,76.341003,76.482002,76.622002
13,Bangladesh,BGD,58.401001,59.033001,59.700001,60.400002,61.126999,61.868,62.610001,63.338001,64.038002,64.702003,65.323997,65.903,66.447998,66.964996,67.459999,67.936996,68.403,68.861,69.311996,69.759003,70.197998,70.625999,71.039001,71.431,71.803001
14,Barbados,BRB,71.383003,71.613998,71.841003,72.060997,72.275002,72.481003,72.678001,72.864998,73.042999,73.212997,73.376999,73.535004,73.691002,73.847,74.003998,74.163002,74.323997,74.486,74.648003,74.810997,74.973,75.133003,75.292,75.447998,75.602997
15,Belarus,BLR,70.646004,70.224998,69.734001,69.222,68.723,68.273003,67.903999,67.623001,67.435997,67.351997,67.364998,67.462997,67.623001,67.825996,68.066002,68.353996,68.706001,69.133003,69.628998,70.175003,70.738998,71.280998,71.768997,72.18,72.504997
16,Belgium,BEL,75.862,76.084999,76.299004,76.507004,76.709,76.906998,77.100998,77.292,77.481003,77.671997,77.866997,78.070999,78.285004,78.509003,78.739998,78.974998,79.210999,79.441002,79.662003,79.873001,80.071999,80.260002,80.442001,80.617996,80.792
17,Belize,BLZ,71.246002,71.011002,70.695999,70.324997,69.921997,69.516998,69.142998,68.82,68.568001,68.400002,68.329002,68.356003,68.459999,68.619003,68.815002,69.023003,69.218002,69.385002,69.516998,69.611,69.676003,69.731003,69.797997,69.894997,70.027
18,Benin,BEN,53.812,54.366001,54.776001,55.042,55.174,55.202999,55.169998,55.132999,55.139,55.217999,55.390999,55.667999,56.025002,56.436001,56.887001,57.355,57.817001,58.255001,58.653999,59.008999,59.319,59.595001,59.855,60.112999,60.373001
