,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
0,Afghanistan,AFG,1340.0,1330.0,1330.0,1320.0,1300.0,1270.0,1240.0,1200.0,1160.0,1130.0,1100.0,1050.0,996.0,941.0,881.0,821.0,776.0,724.0,676.0,631.0,584.0,536.0,496.0,459.0,425.0,396.0
1,Albania,ALB,71.0,69.0,65.0,63.0,49.0,53.0,50.0,51.0,46.0,42.0,43.0,40.0,37.0,35.0,31.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,29.0
2,Algeria,DZA,216.0,210.0,205.0,201.0,196.0,192.0,189.0,184.0,179.0,174.0,170.0,164.0,158.0,153.0,150.0,148.0,147.0,148.0,148.0,148.0,147.0,147.0,145.0,144.0,141.0,140.0
3,Angola,AGO,1160.0,1160.0,1180.0,1180.0,1180.0,1150.0,1120.0,1070.0,1030.0,981.0,924.0,878.0,831.0,789.0,749.0,705.0,668.0,640.0,606.0,581.0,561.0,546.0,526.0,509.0,493.0,477.0
4,Argentina,ARG,72.0,71.0,69.0,65.0,64.0,63.0,63.0,64.0,61.0,62.0,60.0,61.0,60.0,61.0,59.0,58.0,57.0,58.0,57.0,62.0,58.0,56.0,55.0,54.0,54.0,52.0
5,Armenia,ARM,58.0,48.0,55.0,57.0,50.0,50.0,51.0,46.0,46.0,40.0,40.0,39.0,45.0,43.0,41.0,40.0,40.0,35.0,39.0,36.0,33.0,31.0,30.0,28.0,26.0,25.0
6,Australia,AUS,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0
7,Austria,AUT,8.0,8.0,8.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
8,Azerbaijan,AZE,64.0,65.0,83.0,82.0,92.0,86.0,77.0,73.0,66.0,61.0,48.0,43.0,38.0,38.0,32.0,34.0,30.0,29.0,28.0,27.0,27.0,26.0,25.0,25.0,26.0,25.0
9,Bahamas,BHS,46.0,46.0,45.0,45.0,47.0,49.0,52.0,54.0,55.0,58.0,61.0,64.0,67.0,71.0,71.0,74.0,78.0,78.0,82.0,80.0,85.0,86.0,82.0,81.0,83.0,80.0
10,Bahrain,BHR,26.0,25.0,25.0,23.0,22.0,22.0,22.0,22.0,22.0,22.0,21.0,21.0,21.0,20.0,20.0,20.0,19.0,18.0,17.0,17.0,16.0,16.0,16.0,15.0,15.0,15.0
11,Bangladesh,BGD,569.0,550.0,531.0,511.0,495.0,479.0,462.0,446.0,432.0,415.0,399.0,384.0,365.0,349.0,333.0,319.0,303.0,288.0,273.0,258.0,242.0,228.0,214.0,201.0,188.0,176.0
12,Barbados,BRB,58.0,52.0,52.0,52.0,56.0,49.0,44.0,45.0,47.0,50.0,48.0,46.0,46.0,46.0,47.0,40.0,36.0,38.0,36.0,34.0,33.0,31.0,29.0,28.0,28.0,27.0
13,Belarus,BLR,33.0,32.0,32.0,33.0,33.0,33.0,32.0,31.0,30.0,30.0,26.0,23.0,22.0,19.0,16.0,13.0,10.0,8.0,7.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0
14,Belgium,BEL,9.0,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0
15,Belize,BLZ,54.0,54.0,55.0,54.0,55.0,55.0,53.0,53.0,51.0,52.0,53.0,53.0,53.0,50.0,50.0,52.0,50.0,46.0,36.0,39.0,37.0,33.0,32.0,29.0,28.0,28.0
16,Benin,BEN,576.0,553.0,540.0,537.0,541.0,550.0,561.0,571.0,577.0,576.0,572.0,561.0,549.0,538.0,523.0,502.0,494.0,481.0,469.0,457.0,446.0,436.0,429.0,422.0,414.0,405.0
17,Bhutan,BTN,945.0,877.0,813.0,749.0,690.0,636.0,579.0,530.0,488.0,454.0,423.0,397.0,373.0,353.0,331.0,308.0,285.0,263.0,242.0,221.0,204.0,190.0,177.0,166.0,156.0,148.0
18,Bolivia,BOL,425.0,422.0,417.0,409.0,401.0,390.0,375.0,362.0,350.0,342.0,334.0,329.0,323.0,317.0,312.0,305.0,298.0,288.0,277.0,266.0,253.0,241.0,230.0,222.0,215.0,206.0
19,Bosnia and Herzegovina,BIH,28.0,29.0,28.0,26.0,24.0,22.0,21.0,21.0,19.0,18.0,17.0,16.0,15.0,15.0,15.0,14.0,14.0,14.0,13.0,14.0,13.0,12.0,12.0,12.0,12.0,11.0
20,Botswana,BWA,243.0,233.0,227.0,226.0,230.0,238.0,253.0,270.0,289.0,307.0,311.0,328.0,338.0,334.0,311.0,276.0,239.0,215.0,208.0,188.0,169.0,159.0,153.0,139.0,134.0,129.0
21,Brazil,BRA,104.0,100.0,95.0,93.0,88.0,84.0,86.0,90.0,94.0,81.0,66.0,61.0,62.0,63.0,66.0,67.0,68.0,67.0,66.0,65.0,65.0,59.0,60.0,48.0,46.0,44.0
22,Brunei,BRN,35.0,31.0,32.0,33.0,34.0,33.0,34.0,34.0,33.0,33.0,31.0,31.0,30.0,32.0,32.0,30.0,28.0,26.0,27.0,26.0,27.0,29.0,25.0,24.0,23.0,23.0
