,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Afghanistan,AFG,0.227593198,0.2291743615,0.229049211,0.2296399942,0.2307067484,0.2322940737,0.2330128085,0.2341995376,0.2348003993,0.2349462724,0.2354002777,0.2352972281,0.2343455222,0.2332484483,0.2333194799,0.2332080704,0.2325685078,0.2312856571,0.2313415145,0.2311046282,0.2297852415,0.2274402183,0.2263758495,0.2251772153,0.2238304564
1,Albania,ALB,0.245982852,0.2458895048,0.2447064315,0.2448592579,0.2458732387,0.249017573,0.2521990005,0.257100075,0.2634380155,0.2711221853,0.2808356984,0.28713426,0.2968054762,0.3049963566,0.3134866485,0.3243578293,0.3277528133,0.3287577801,0.3330277687,0.3374923275,0.3397758357,0.3394855335,0.3412133564,0.3426748039,0.34322375
2,Algeria,DZA,0.1318515801,0.1346841014,0.133912303,0.1361055855,0.1382802596,0.1437384406,0.1389733546,0.1342025056,0.1307167945,0.1287487343,0.1272342004,0.1277801018,0.1301759059,0.1332789256,0.1380494604,0.1440030259,0.1469826761,0.1502833906,0.1540654559,0.1574206365,0.1625513738,0.1678345734,0.1716264399,0.1787797097,0.1838801457
5,Angola,AGO,0.2577110404,0.2570616024,0.2562047326,0.2566205561,0.2599566397,0.2607538282,0.2609288523,0.2591069722,0.2574072036,0.2551242629,0.2543487539,0.2508766167,0.2491847816,0.2470538923,0.2461952885,0.2437706384,0.242486236,0.2411756937,0.2397279502,0.238017203,0.2368519566,0.2359170427,0.2369442597,0.2367462332,0.2365992609
7,Argentina,ARG,0.548588907,0.557954333,0.5686366522,0.5767604003,0.5880007162,0.6005502565,0.6058694388,0.6083155906,0.6128736307,0.6191887705,0.6255651759,0.6277855301,0.6298412401,0.633495768,0.6380485748,0.6407156207,0.6460947484,0.652409131,0.6555876215,0.6619574237,0.6676048133,0.6776011657,0.686244796,0.6988654225,0.7069363921
8,Armenia,ARM,0.4124512435,0.4186534735,0.4304930051,0.4381261829,0.4388703747,0.4453037589,0.4514503696,0.4531489797,0.4583509641,0.4601225794,0.4615207574,0.4717050313,0.4767502351,0.4892845748,0.5048277609,0.5219712028,0.5386745363,0.5496524507,0.571539786,0.5835982446,0.5989393026,0.5950378678,0.5916162285,0.5814687019,0.5746546953
9,Australia,AUS,1.382719609,1.4167246761,1.4579886455,1.5006704114,1.556118265,1.6201158379,1.658226418,1.6952408313,1.730362186,1.7701659139,1.8082532529,1.8208515036,1.8358045145,1.8450088588,1.8583882819,1.8719744276,1.8637882937,1.8610355678,1.8833965599,1.9070844577,1.9295569011,1.9291002729,1.9369582374,1.9588734416,1.9800415982
10,Austria,AUT,1.1327150758,1.1418244502,1.1527011768,1.1671665757,1.1797409988,1.1895526647,1.188570507,1.1929074804,1.1956253096,1.1988566092,1.2029790421,1.195937908,1.1885931796,1.1787860675,1.1731321411,1.1692121658,1.163175678,1.1581148776,1.1557644469,1.158800131,1.158244207,1.1691447382,1.1794267157,1.1856470286,1.1978453272
11,Azerbaijan,AZE,0.3190992331,0.3263572889,0.3419596732,0.3476084455,0.356926716,0.3576261012,0.3473076696,0.3403363764,0.3357080292,0.3294117136,0.326532246,0.3258601711,0.3299278942,0.3354734779,0.3374220939,0.3449943681,0.3530560732,0.3633548987,0.3777564576,0.388730725,0.4017688338,0.4014063364,0.4067574748,0.4056034072,0.4101095916
12,Bahamas,BHS,0.8819794899,0.8827060134,0.8846133489,0.8877770361,0.8951533288,0.9130174724,0.923228144,0.9643284219,0.9904173327,1.0108881112,1.0401062207,1.045637221,1.0565959933,1.0539775547,1.0506477133,1.0465379915,1.0424287431,1.0545841695,1.0617936842,1.0710810215,1.0813030621,1.0941483945,1.1186638664,1.1349586245,1.1413640612
13,Bahrain,BHR,0.3127050516,0.317884779,0.3202428631,0.3243044864,0.3286302031,0.3357815949,0.3366136819,0.3391096622,0.3415491159,0.3404587584,0.3428146681,0.3493515811,0.3526138999,0.3536497878,0.3535275673,0.3550102851,0.3501795713,0.3460906475,0.3413146577,0.3396366154,0.3370301449,0.3373584237,0.3385722275,0.3434425725,0.3481812336
14,Bangladesh,BGD,0.1926575494,0.1854456571,0.1857525553,0.1834084587,0.1803787252,0.1788610092,0.1757484771,0.1710251836,0.1671255734,0.1634082366,0.1641853083,0.1615149976,0.1602299238,0.158964271,0.159553138,0.1597509929,0.1630921426,0.1669866101,0.1706346921,0.174166039,0.177576522,0.1801440972,0.1862619727,0.1908350045,0.1967090296
15,Barbados,BRB,0.8950935624,0.9204757133,0.9455834591,0.9666027651,0.9921409581,1.0173324055,1.0279647846,1.0386449352,1.0511286929,1.0635202352,1.0811934611,1.0880937968,1.081739198,1.0907792878,1.0962583854,1.1013272612,1.1141489574,1.1311559935,1.1444702811,1.1673308733,1.1807270894,1.1910598879,1.2025769089,1.2168637368,1.2285963363
16,Belarus,BLR,0.5518596473,0.5706000401,0.592864458,0.6164351747,0.6314245379,0.6469903755,0.6337226289,0.6266026702,0.6165484578,0.6140639478,0.6045991219,0.6091214544,0.6146347689,0.6167684518,0.6266656265,0.6380212331,0.6449073061,0.6502658066,0.6629932433,0.681020281,0.68809109,0.6910512458,0.6839381986,0.682958392,0.6823702297
17,Belgium,BEL,1.2411030395,1.2545358401,1.2817474935,1.3058259972,1.3234895841,1.3296258094,1.3177681088,1.3098850796,1.3195708198,1.3177693601,1.3191293026,1.3434142198,1.3541922421,1.3481967095,1.35026544,1.3520686239,1.3495585029,1.3491867468,1.3532219395,1.3565872903,1.3633851375,1.3751144527,1.38314988,1.3951633962,1.3936700638
18,Belize,BLZ,0.2464106723,0.2537911399,0.2656615308,0.2725407496,0.2943390454,0.3134724416,0.333834002,0.3623699076,0.3842291929,0.3967688659,0.4012505181,0.4128006291,0.4177195703,0.4214732196,0.4266839454,0.4253264216,0.4207099224,0.4182609316,0.4184996,0.4148847332,0.4174753806,0.4179893103,0.4216315868,0.4272624342,0.4352457723
19,Benin,BEN,0.1512826065,0.1504833594,0.1503312465,0.1497584187,0.1504172879,0.1514559784,0.1526305602,0.1518499792,0.153362861,0.153573157,0.1561803467,0.1569057235,0.1578823519,0.1592274408,0.1608686741,0.1629159772,0.1649458527,0.1664410321,0.1690980264,0.1709349769,0.174178332,0.1751982915,0.1764236993,0.1772686598,0.1773784102
21,Bhutan,BTN,0.1676331308,0.166510693,0.1653470956,0.1630945155,0.1602310459,0.1583083764,0.1534559392,0.1502785382,0.1473535834,0.1439448984,0.1413089236,0.1392444384,0.1363172959,0.1361654787,0.1344912509,0.1351768673,0.1350185986,0.1345286318,0.135797616,0.137520025,0.1390765727,0.1418012075,0.1436913859,0.1470400248,0.1496623309
22,Bolivia,BOL,0.4048110481,0.4027065085,0.4024374887,0.3995466514,0.3969685245,0.3948431754,0.387880483,0.3849596032,0.3798290893,0.3749076892,0.36966618,0.3658217369,0.3671269279,0.3648973815,0.3654137203,0.3688402216,0.3703712712,0.3722872859,0.3759248624,0.3800816137,0.3831495356,0.3862531832,0.3902020088,0.3947340398,0.4002561229
23,Bosnia and Herzegovina,BIH,0.3258193252,0.3263079802,0.3251075329,0.3242168784,0.3249407225,0.325316112,0.3318212329,0.3380165714,0.3512086447,0.3571972016,0.3693245219,0.3779192063,0.3914366806,0.4039356042,0.4183509496,0.4390034316,0.4478844361,0.454518886,0.4618896514,0.469859007,0.4775795229,0.4818908704,0.4857431973,0.4900379501,0.4948452705
24,Botswana,BWA,0.2875199463,0.288598695,0.2914837163,0.2927169906,0.2962801914,0.3037374697,0.3125578929,0.3223010009,0.3368076942,0.3507234561,0.3675673042,0.3747095495,0.3805362194,0.3847890903,0.3847016822,0.3822784244,0.3791491495,0.3775178663,0.3751219299,0.3736887327,0.3757543451,0.3816282372,0.3910107349,0.3976307623,0.4078670845
25,Brazil,BRA,0.3535164577,0.3613009126,0.3695904997,0.3771225361,0.3857539859,0.3946753399,0.4026859555,0.4114142446,0.4208070412,0.431252434,0.4424172926,0.4467648794,0.4511799142,0.456655518,0.4617699445,0.4671415038,0.4703897592,0.4737027292,0.4782938291,0.4821694792,0.486767619,0.4916061436,0.4972161128,0.5028922349,0.5096775357
26,Brunei,BRN,0.5848228668,0.5948594758,0.6025125723,0.6073708647,0.6147722308,0.6210265124,0.6308102448,0.6406738716,0.6507153451,0.6658276072,0.687005276,0.7061856211,0.728031524,0.7544159798,0.7867535473,0.8220259998,0.8557685253,0.8890358257,0.9198692463,0.9502854472,0.9761049623,0.9983893808,1.0229516279,1.0418183661,1.062494612
27,Bulgaria,BGR,0.5289361487,0.5407615173,0.5579598448,0.5627312006,0.5741893245,0.5814916473,0.5835527817,0.5919032734,0.5905023974,0.5928831834,0.5962382009,0.6089091886,0.6260630294,0.6463963086,0.6714848287,0.7007962071,0.7264252407,0.7461505693,0.7615857133,0.7758665366,0.7963808939,0.8048341985,0.8127019561,0.8211553862,0.8258098449
28,Burkina Faso,BFA,0.1628824483,0.1622855563,0.1624977786,0.1627774979,0.1627908838,0.1624821241,0.1611985681,0.1615739362,0.1621619714,0.1627042671,0.1637712314,0.163533509,0.1646547327,0.165240997,0.1660135287,0.1667979976,0.1679850503,0.1694189004,0.1696962711,0.170465714,0.1720213663,0.1733303016,0.1743900768,0.1745292698,0.1760762363
29,Burundi,BDI,0.3516807197,0.3516542721,0.3520843045,0.3492358484,0.3527641788,0.3532702299,0.3498454105,0.3426957363,0.3365477853,0.3302905371,0.3248129158,0.3112207866,0.303544764,0.2953460143,0.2886269944,0.283956422,0.278617673,0.2737280768,0.2694947951,0.2675936174,0.2670236544,0.2668078317,0.2684005942,0.2696791807,0.2700858113
30,Cambodia,KHM,0.2587579549,0.2581819872,0.2596220538,0.2614251082,0.2634893919,0.2660970857,0.2672969793,0.2685051544,0.2702152991,0.2693808025,0.2700238569,0.2677369955,0.2649632534,0.2637236204,0.2614073464,0.2602386771,0.2590876293,0.2577384827,0.2560061384,0.2566286591,0.2560489751,0.2565081121,0.2558339348,0.2559780388,0.2566030066
31,Cameroon,CMR,0.1771332871,0.1765348475,0.1781809272,0.1792311313,0.1807628863,0.1822557985,0.1848060706,0.188941491,0.1916921147,0.1955842648,0.1995644037,0.2008625211,0.2020551599,0.2042066684,0.2071155325,0.2095660293,0.2099832491,0.2107615904,0.2104571793,0.2098372878,0.211967551,0.2130463964,0.2143617488,0.2146268208,0.2158503476
32,Canada,CAN,1.1109628082,1.1264184809,1.1457674332,1.1643234514,1.1826977121,1.2077580295,1.2261211403,1.2402584185,1.2563153216,1.2780774884,1.2964481069,1.2955488345,1.3011879007,1.3028200709,1.3111447818,1.3145655364,1.2997315049,1.2804745714,1.271931917,1.2669168175,1.2639649612,1.2746203306,1.2855787988,1.2985522628,1.307345957
33,Cape Verde,CPV,0.2525592882,0.2537568471,0.254915052,0.256512088,0.2556785287,0.2570019325,0.2572396552,0.2610498259,0.2673638075,0.2740536676,0.2836570761,0.2847256141,0.2857512866,0.2875181045,0.2894896146,0.2917311966,0.2942960213,0.2976109837,0.3015382658,0.3053810848,0.3090557207,0.3105051136,0.3148130924,0.3179445914,0.3207527184
34,Central African Republic,CAF,0.2725592401,0.2713416639,0.270522072,0.2765235284,0.2770853724,0.2788608332,0.2802479787,0.2801897769,0.2809771321,0.2812711235,0.2811237248,0.2808287414,0.2806225105,0.2802779714,0.2793468497,0.280589155,0.2804148469,0.2784709014,0.278036777,0.277102603,0.2778103613,0.2762854892,0.2754393781,0.2755035564,0.2748578112
35,Chad,TCD,0.1567463497,0.1556535313,0.1552719438,0.1548678192,0.1551558575,0.1558342396,0.1566526734,0.1575845418,0.159250929,0.160897299,0.1628760241,0.1639384133,0.1655663719,0.1670247302,0.1679909894,0.1686658622,0.1690742118,0.1705465224,0.1729134035,0.1744738393,0.1756505275,0.1753311635,0.1761440802,0.1747669091,0.1751587095
