,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Afghanistan,AFG,0.6004607544,0.6002165001,0.6001667801,0.6000520185,0.5997962136,0.5994007406,0.5992894815,0.5991448878,0.5989797162,0.5988595354,0.5989892282,0.5992426181,0.5996980742,0.600115648,0.6004251032,0.6007482852,0.6019238462,0.6028597507,0.6039136075,0.6050233997,0.6063720304,0.607310909,0.6084429347,0.6095978551,0.6107180793
1,Albania,ALB,1.560904671,1.5587448459,1.5556740304,1.5520069703,1.5485846817,1.546743224,1.5444861787,1.5435270117,1.5428812342,1.5415277654,1.5391535456,1.5407283307,1.5417609056,1.5423434047,1.542876451,1.5440539565,1.5476356723,1.5515642883,1.5561096975,1.5607899264,1.5657915662,1.582705639,1.5996499189,1.6164508362,1.633355833
2,Algeria,DZA,0.5839719186,0.5841208644,0.5842995876,0.5844164806,0.5844781848,0.5845906864,0.5847620367,0.5850634092,0.5852861918,0.5855197106,0.5858396864,0.5859923895,0.586302101,0.5864832838,0.5866628525,0.5869018186,0.5882040911,0.5893229989,0.5905402559,0.5917662064,0.5930527585,0.594994433,0.5970059935,0.5991025274,0.601125632
5,Angola,AGO,1.4900754752,1.4830541558,1.4762743792,1.4696773199,1.4631238216,1.4569868657,1.4528392775,1.4490498884,1.4453041811,1.4415870436,1.4382096976,1.4348066928,1.431759709,1.4286667867,1.425532271,1.4225563447,1.4253843269,1.4278773136,1.4304056328,1.4327924145,1.4352611582,1.4386813177,1.4422731976,1.4458341335,1.4493979396
7,Argentina,ARG,1.9460436052,2.0082433344,2.0738444186,2.142896403,2.2155313974,2.2905750583,2.2891599182,2.2881803566,2.2870755233,2.2859002003,2.2849550459,2.2783206495,2.2719741349,2.2656497589,2.259473143,2.2534396356,2.1429431745,2.0387768093,1.9409087218,1.8487570255,1.7624500866,1.7678812197,1.7731977829,1.7791672852,1.7848941731
8,Armenia,ARM,1.8497134273,1.8276059728,1.8042666791,1.7802572153,1.7558511955,1.7314357914,1.7068398144,1.6833795875,1.6612574608,1.640859464,1.6230302647,1.6215219983,1.6216040627,1.6234736154,1.6265473581,1.6306969806,1.6423736904,1.6544964749,1.6655584731,1.6715161991,1.6710910885,1.6746545272,1.6709046121,1.6630367762,1.6566661689
9,Australia,AUS,1.3238276759,1.3419456431,1.360592955,1.379505666,1.3984007016,1.4178328495,1.4190128664,1.4202860187,1.4210706491,1.4223195721,1.4224700998,1.4012772772,1.3801440185,1.3594140135,1.3391899863,1.3194486971,1.3308005928,1.3421615102,1.3537881721,1.3652082032,1.376548566,1.380148895,1.3839663595,1.3876302651,1.3910108575
10,Austria,AUT,1.7478465788,1.7568423626,1.765414362,1.7736931141,1.7818162496,1.7895794716,1.8178943162,1.8466161662,1.8760135745,1.9061706693,1.9371006362,1.9379216381,1.9387250562,1.9391567375,1.9395013869,1.9404364705,1.9393065875,1.9369147485,1.9345750091,1.9323978731,1.9302791815,1.9121287792,1.8948178879,1.8775783272,1.8611411639
11,Azerbaijan,AZE,2.4025673568,2.4089914965,2.4155434522,2.421355152,2.4266966574,2.4314948084,2.4305012194,2.4286397183,2.4258700982,2.4231547765,2.4217288908,2.4273891504,2.4343888198,2.4426379947,2.4503575978,2.4580117569,2.4748925816,2.4910015183,2.5075904858,2.5233028201,2.5395198616,2.53632474,2.5331504626,2.5299415981,2.5268647855
12,Bahamas,BHS,2.1967444435,2.1642853446,2.1321548146,2.1001182788,2.0680168616,2.0360003498,2.0219473127,2.0075364706,1.9930299573,1.9788627077,1.9656630782,1.9436006347,1.9226551395,1.9027919979,1.8833139657,1.8642105563,1.8613903299,1.8580708044,1.8551143249,1.8521545513,1.8495984414,1.8473236384,1.8452253243,1.8431928306,1.841363006
13,Bahrain,BHR,0.7034765244,0.7042701981,0.7048382345,0.7049855268,0.7046903429,0.7042622575,0.7014765587,0.6986285172,0.6960399705,0.6939465989,0.6927427162,0.689923029,0.6879932468,0.6865401358,0.6851876812,0.6838265378,0.6833328827,0.6821557827,0.6805048869,0.6781895644,0.675438001,0.6760562624,0.6765168796,0.6765874095,0.6764573038
14,Bangladesh,BGD,1.3582599802,1.358021381,1.3586213843,1.3588869756,1.3589444139,1.3587483192,1.3611621998,1.3639700023,1.3667997462,1.369675044,1.3728003207,1.37304208,1.3735796649,1.37402581,1.3743324763,1.3746273778,1.3789548664,1.3827199954,1.3866279573,1.3905145565,1.3948323156,1.407504613,1.4206977951,1.4341666714,1.4479695533
15,Barbados,BRB,1.4986342748,1.4950302634,1.4913900201,1.4873114663,1.4830514034,1.4788319169,1.4808392059,1.4829243887,1.4849313143,1.4868200034,1.4889158012,1.4843675461,1.4800763474,1.4755800952,1.4711869431,1.4668573172,1.4642586973,1.4614113105,1.4587690675,1.4561665408,1.4537275633,1.4604461234,1.4673258426,1.474161887,1.4811302686
16,Belarus,BLR,3.9478178508,3.9531415405,3.9589485062,3.964200332,3.9684400723,3.9728251622,3.9843713316,3.9961212637,4.0077350776,4.018788495,4.0300448833,4.0455893533,4.0617946808,4.0775960223,4.0939774194,4.1102034574,4.1062834289,4.1016344474,4.0975092609,4.0931287652,4.0891448533,4.094900707,4.1013210461,4.1078481619,4.1140882083
17,Belgium,BEL,1.2878199565,1.3020994768,1.3166617698,1.3312742045,1.3456806042,1.3601918328,1.3644133602,1.3686492066,1.3730610141,1.3775038355,1.3820840517,1.3774076084,1.3734502709,1.3689574618,1.3645539076,1.3601773988,1.3558397866,1.3512782299,1.3465435546,1.3415353711,1.3366527742,1.3416036936,1.3451401771,1.3484335473,1.3514153552
18,Belize,BLZ,1.7035733739,1.7103887,1.717381252,1.7241799928,1.7310388529,1.7378971206,1.7457444693,1.7539793776,1.7622336461,1.7706332815,1.7792367171,1.7739121604,1.7690001025,1.7639486157,1.7587074562,1.753562479,1.7482135158,1.7411582908,1.7334587279,1.7250328989,1.716510374,1.7157342388,1.7155369341,1.715357738,1.7150840809
