,Country,ID,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Afghanistan,AFG,17.5770222091,17.6257701706,17.6943934253,17.7463691264,17.8033740827,17.8641279544,17.8815026261,17.8931925279,17.9034162081,17.9227799381,17.9491844136,17.9249246415,17.9182378666,17.9127999317,17.9033743527,17.9021629639,17.8752325642,17.8486825252,17.8130675594,17.787380977,17.7696857573,17.7371492295,17.7194783963,17.6974946894,17.6781296219
1,Albania,ALB,13.710771088,13.7190673209,13.737011729,13.7515194821,13.7714314314,13.793585736,13.795559358,13.7884757485,13.7991320545,13.7976639865,13.7948519313,13.7879070347,13.7848860808,13.7856108185,13.7853279344,13.7871915921,13.7871328753,13.7767869908,13.7773878756,13.7781693996,13.7763678603,13.7850865182,13.7973211931,13.8109823986,13.8203805457
2,Algeria,DZA,16.3560561768,16.3661246962,16.3628228408,16.3754220955,16.3821533747,16.3854315169,16.3912731601,16.3912999453,16.396242051,16.3956575184,16.4102896011,16.4175900167,16.4279442849,16.4289261741,16.4321443663,16.441542045,16.4430077964,16.4355765491,16.4391909502,16.4305642402,16.4387905533,16.4510964237,16.4669170872,16.4692464485,16.4878807807
5,Angola,AGO,16.0786816622,16.0765939985,16.0972552543,16.1110840105,16.1093173745,16.1237111815,16.1025666629,16.0882721246,16.0641653126,16.0461237211,16.0316595365,16.0041100512,15.9639078672,15.9464930463,15.925550414,15.8897630846,15.8538057187,15.8139313032,15.7818070283,15.7448665567,15.7126437663,15.6938815255,15.6872804989,15.6800618234,15.6497949686
7,Argentina,ARG,18.438999557,18.5054856645,18.5937726814,18.659362234,18.7335505709,18.8047641361,18.8185902382,18.8398886434,18.8487772042,18.8665889513,18.886283639,18.8903182372,18.9074774171,18.9123137867,18.9248683975,18.9431973788,18.8579681431,18.7702165749,18.7036048545,18.6254324904,18.5609957157,18.5687973846,18.5787797302,18.5886532257,18.6038688381
8,Armenia,ARM,13.6560979636,13.6510824732,13.6340832488,13.6175553035,13.6011015592,13.5923675743,13.5865361108,13.5815420367,13.5919237474,13.6019922897,13.6092560005,13.60173691,13.5941867153,13.5989572968,13.5991708067,13.6040651158,13.6255082299,13.6475762832,13.6609653253,13.6820040315,13.6809522293,13.6798084948,13.6757999544,13.6637931716,13.6514471019
9,Australia,AUS,21.2725455082,21.3399132608,21.4211081841,21.501322514,21.588862592,21.6533781291,21.6578405903,21.6583210105,21.6616489389,21.675044747,21.6639066245,21.7053089018,21.7258446113,21.7679008996,21.8009971524,21.8404085056,21.8099102245,21.7745903388,21.7352608588,21.6865264006,21.6569204099,21.6501831287,21.6607668232,21.6570855666,21.6433724651
10,Austria,AUT,17.3173829076,17.3212905956,17.3495063411,17.3558505179,17.3689825777,17.3927772764,17.3931780097,17.3979622329,17.404949059,17.4201963746,17.4269864627,17.4168100089,17.3964215931,17.3919039542,17.3840744217,17.3770154592,17.3777999711,17.3693437764,17.3716388629,17.3532462872,17.3594535064,17.3436853839,17.3348188543,17.3192672965,17.3143557187
11,Azerbaijan,AZE,13.9047181912,13.9062148719,13.9092284232,13.922175667,13.9359529232,13.9392949374,13.9597762011,13.9681784464,14.0029676873,14.0120736757,14.0364998754,14.0340330621,14.0352754181,14.033200141,14.0403312752,14.0501790176,14.0429660281,14.0318900305,14.0300009353,14.0261606047,14.0308976568,14.033403283,14.0383311385,14.047258128,14.0488545572
12,Bahamas,BHS,16.0557279925,16.0246821626,15.9896764432,15.959590733,15.9346310399,15.9022783047,15.8937215299,15.8842926104,15.8730410688,15.875292272,15.8714422792,15.859328052,15.8458909144,15.8305046324,15.8236785931,15.8065159328,15.7962762506,15.7772591202,15.7780357385,15.7687264326,15.7569948546,15.7596187808,15.7619303727,15.7708028491,15.7711115254
13,Bahrain,BHR,16.7237609645,16.7449878551,16.7648630222,16.7844527894,16.8048508924,16.8292065013,16.8313471925,16.8395927389,16.8275794887,16.8303806609,16.8455330444,16.8084101558,16.7847367092,16.7483247918,16.7171622648,16.6903131676,16.6554251514,16.6214169153,16.5808007305,16.5348866893,16.5036112717,16.4838802638,16.4833237621,16.4639421287,16.4425312246
14,Bangladesh,BGD,15.5074658963,15.461886422,15.4204270322,15.3844281003,15.3522592255,15.3047674984,15.3185405032,15.3407600466,15.3471969043,15.3657252214,15.3975454905,15.376633508,15.3695051131,15.354032679,15.3331666192,15.3231980316,15.295356952,15.256665879,15.2332867361,15.206857697,15.1844309841,15.1463295047,15.1170082103,15.0884119358,15.057055431
15,Barbados,BRB,15.6168660512,15.6084737377,15.6073599671,15.5864550331,15.5814506665,15.5826089032,15.5977729203,15.6030136747,15.6076557241,15.6290881214,15.6395968681,15.6367285755,15.64193526,15.6395811151,15.6519924115,15.6582406985,15.6596195767,15.6577242575,15.6500981147,15.6559468759,15.6635080988,15.6657424713,15.6854276959,15.6963465417,15.6998970666
16,Belarus,BLR,16.8807767367,16.8932816498,16.9335236693,16.9605609497,16.9869774428,17.0074685388,17.0265800443,17.0738878652,17.0950130782,17.1289989629,17.1671528784,17.1811006644,17.1930940959,17.2141635095,17.23559688,17.2471786271,17.2310584199,17.2083512958,17.1944884284,17.1759972057,17.1565134491,17.1536057414,17.1466935876,17.149184294,17.1430826808
