Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),Smoking (deaths),Secondhand smoke (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),No access to handwashing facility (deaths),Poor sanitation (deaths),Unsafe water source (deaths),Unsafe sex (deaths),Low physical activity (deaths),Diet low in vegetables (deaths),Diet low in fruits (deaths),High cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths),High body-mass index (obesity) (deaths)
Afghanistan,AFG,1990,0.630730648187,75.0343676049,8.22198015088,1.36571876368,1246.23802962,401.257904466,2958.02581552,1854.0038065,106.637505192,90.2422015262,102.71244851,37.7499910737,918.387099362,1173.88139381,1262.20073925,1931.42536705,5167.60423931,4505.61084106,1949.65318741
Afghanistan,AFG,1995,1.88446184223,119.137599823,16.5059966356,4.27198716189,1974.93562461,708.99474728,4687.25762445,2881.43020102,163.713520096,134.514541626,153.25562317,57.6592025709,1429.77437755,1906.44885475,2075.53157122,3040.99223031,8169.35237104,7083.34494442,2783.79311671
Afghanistan,AFG,2000,1.67039786831,143.740310492,25.2453631994,-10.3959496181,2429.37135308,944.412340607,5766.85055691,3570.91723135,203.350019773,161.464630654,184.481737279,67.5529820392,1757.18959578,2327.01286648,2633.91165952,3743.53782328,10157.0711952,8907.50989952,2949.22058499
Afghanistan,AFG,2005,0.917800119066,176.245954304,36.704409228,-66.8551722326,2848.21381088,1100.3960479,6299.90641053,3765.78285364,224.633797634,165.262451808,189.984197938,74.6025689132,2049.50185125,2635.60148959,3076.20078068,4296.38045716,11810.1952792,10640.9818494,3641.10218222
Afghanistan,AFG,2006,0.871946755586,181.007228575,39.7496378485,-82.9120493038,2951.94080649,1134.38806236,6421.70412725,3905.62165267,228.553804359,165.485595549,190.568016036,76.3964969477,2115.59268481,2713.3625372,3169.57933007,4436.69438236,12181.2245072,11035.5339304,3880.55729675
Afghanistan,AFG,2010,0.82756611496,208.497298146,53.724644614,-147.223727246,3306.43059361,1373.18173545,6698.06742104,4397.87839977,234.659569405,155.379007059,180.876337123,83.0045033727,2362.48515096,2964.25801748,3446.02097912,4904.10194701,13370.4163449,12558.3710468,4912.21875733
Afghanistan,AFG,2016,0.89706717714,257.92484973,88.3441687404,-215.890023816,4057.74507457,1674.21918091,7424.69165841,5831.66422937,241.125219215,131.884785723,156.838103148,96.9233090724,2872.80781393,3514.24431125,4095.46422452,5945.06499301,16062.498644,16078.9773682,6309.07933024
Albania,ALB,1990,0.0152175100671,19.5484523906,4.76008243292,139.623337966,1118.9525199,227.613236178,928.036680999,538.073651957,10.7870633164,1.83295260003,2.48798627422,10.4817034291,274.066177729,312.721674787,568.012562678,898.314751332,2757.68999032,474.0163657,648.479589919
Albania,ALB,1995,0.0165430323222,20.2272818483,8.41360429271,210.154290875,1210.30791961,237.56172092,919.013700003,516.342496213,9.71239985006,1.96585323554,2.58805848681,10.7294899809,288.117092633,268.923088463,603.896738012,947.145510852,2916.64866866,511.318777035,714.418349578
Albania,ALB,2000,0.0194257818243,21.6283956349,16.790605474,392.109780875,1471.49169463,271.921848708,974.722653472,598.018507517,6.40706530811,1.32754271622,1.88124849737,11.987613318,358.181325372,270.633150852,685.920094835,1172.76534212,3569.76972307,651.302255552,922.231990429
Albania,ALB,2005,0.0250856964749,25.1957150063,27.8914794321,684.877815159,1741.6601832,336.267010586,1001.16337857,694.349314898,4.69628052798,1.04351037139,1.73888060605,14.8542427392,487.169109747,336.09238088,756.160656724,1595.5499842,4673.97709933,882.724984521,1210.81403428
Albania,ALB,2006,0.0266919045642,25.6720747008,29.5281089464,727.270794627,1766.5722549,338.977207751,945.168282434,730.069231722,4.44290681408,1.01949143478,1.71396942879,15.4460378552,505.196640009,336.135123491,753.335550142,1654.45908713,4811.79141328,905.318693449,1247.76124007
Albania,ALB,2010,0.0315307319804,29.3319378434,42.084974075,842.991497265,1899.23234531,347.413537888,753.698926682,881.836050559,4.11229011961,1.02717910959,1.77378540875,16.7867560729,571.527461287,246.950013559,680.611167723,1857.39338523,5292.32177231,1000.02883171,1424.19190541
Albania,ALB,2016,0.0340747693854,33.4691695254,57.5852064042,872.431883559,2063.99200717,374.032611765,644.744239417,910.461640884,4.07331697481,0.933561171492,1.80717351884,17.0377873916,621.050669027,191.790133783,628.746771564,2007.06579352,5586.28627564,1091.59926961,1604.15789443
Algeria,DZA,1990,0.168220605248,230.392526716,19.2450172656,-55.6084864597,3007.50542829,1291.67780378,863.167434678,2955.0152999,87.8654944056,115.393122645,175.626808924,89.2722267844,2003.41216507,1927.02694762,2308.5285309,4403.37841693,11291.3948838,6621.20887796,2757.86956468
Algeria,DZA,1995,0.224405336051,272.549558369,27.8547060309,-94.0488272559,3266.61919717,1356.11142916,619.511106642,3338.72907066,87.979666559,79.9027248478,136.095773066,93.9319134127,2332.20579121,2137.82362941,2651.06176765,5057.33082903,13038.2749551,7755.93534888,3461.81768544
Algeria,DZA,2000,0.300762948161,341.430423032,44.183111337,-89.9639155503,3429.76605919,1531.55115925,422.205964066,3900.6215172,117.04458168,66.385126484,124.69456618,90.7803913065,2787.81558401,2380.18211323,2995.08844327,5910.11543254,15387.363059,9252.95156179,4512.85383179
Algeria,DZA,2005,0.309041627097,422.872124461,69.9792368371,-30.5916940893,3707.66344163,1747.45921615,210.984224029,4311.94352051,137.734743219,59.776988981,133.444788387,117.924286977,3301.40612534,2398.14240417,3160.17458795,6813.49334011,17905.9921841,11695.8668722,6583.06461784
Algeria,DZA,2006,0.304056275145,438.808537919,75.6030940917,-25.3131173307,3707.05715132,1843.67285048,185.203468798,4392.92637106,138.208976312,58.1130004079,135.475735129,126.747747027,3398.07396628,2370.82803512,3147.30674464,7025.99303943,18404.9438781,12375.1115309,7054.18555165
Algeria,DZA,2010,0.345751219354,524.647620448,104.049641372,-41.0926428308,3836.88156171,2345.46296069,111.07273355,4909.06206375,144.243039242,54.5162824882,149.748494933,136.749319104,4026.66710492,2361.24855411,3253.7023746,8413.92638093,21661.7803055,16107.9956059,9491.41324842
Algeria,DZA,2016,0.446140219141,686.346040329,159.167843369,-71.6307230622,3618.4256422,3113.37261002,59.2094699251,6985.22891764,157.739328984,51.9486068208,165.159414881,153.486102381,5253.17277568,2621.91951655,3778.47617905,11446.3771744,28222.7228915,21654.0565043,13529.5487728
American Samoa,ASM,1990,0.000920618008227,0.401404940292,0.0711668387947,0.183244464045,10.5173821773,1.74016255402,3.61960129913,0.764667742317,0.199486633669,0.25489436683,0.454106528302,0.115264534727,2.46213153269,2.37879388012,2.04181626719,4.37254776581,19.6813553844,19.140535259,15.7916320663
American Samoa,ASM,1995,0.000836282841976,0.418897839373,0.0814589050881,0.133783975782,10.4689348209,1.86286028692,3.15547787707,0.767559482982,0.170496644035,0.204809350359,0.382076354807,0.162477334548,2.60244133858,2.41694558899,2.04035286332,4.67491208097,20.6677744493,21.1969988073,17.7768460954
American Samoa,ASM,2000,0.000837543540208,0.433449193795,0.0882493656273,0.0496909529431,10.0047987383,2.01788567081,2.75611631597,0.815758008063,0.147800620804,0.151183826034,0.298655770559,0.16618528305,2.83032469932,2.53399173605,2.03859155439,5.11990731166,21.3660056186,23.6950513439,19.4401928541
American Samoa,ASM,2005,0.000829243461443,0.506627099751,0.111364668495,0.0714064120413,9.91864644685,2.16708458944,2.46038604478,0.801702408,0.139034043132,0.146031108677,0.300468645112,0.186025699708,2.91479913834,2.54750346627,2.06341949875,5.31469049826,22.0033206494,26.6860100644,21.8461625017
American Samoa,ASM,2006,0.00083089134063,0.529519094414,0.113296345376,0.0977842442961,9.79766076384,2.17367392674,2.3823555689,0.540010636194,0.137378269101,0.146655430845,0.303699925349,0.193951815265,2.93915698613,2.58705187455,2.08027447411,5.41696726938,22.3621935141,26.9538486408,22.1839850229
American Samoa,ASM,2010,0.000871221571659,0.551164004034,0.124823185251,0.127767970963,9.58740729744,2.25633343094,2.11474279484,0.356961241,0.131478790663,0.149651269953,0.31418734607,0.227924537204,3.03767007747,2.69104800693,2.17019540514,5.68794888249,23.2862467565,28.2823521534,23.5843255835
