Entity,Code,Year,Discontinued breastfeeding (deaths),Non-exclusive breastfeeding (deaths),Child stunting (deaths),Low birth weight (deaths),Drug use (deaths),No access to handwashing facility (deaths),Secondhand smoke (deaths),Poor sanitation (deaths),Unsafe water source (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High body-mass index (obesity) (deaths),High blood pressure (deaths),High blood sugar (deaths),Child wasting (deaths),Iron deficiency (deaths)
Afghanistan,AFG,1990,80.4908516375,2149.55897835,11212.9999505,7841.7055244,0.470802445218,2942.0239673,1031.22345333,2427.8770953,2779.08491689,8682.68436236,5416.3247616,9.88872237754,1.37993642145,79.0125151323,19782.2888583,0.0381815161323
Afghanistan,AFG,1995,142.776896718,3023.13213751,12322.4040157,9722.50575427,0.611471379414,4448.79887859,1499.328413,4797.93042493,5497.53819036,10062.4269515,6067.00900152,10.1469234071,1.4740840032,88.0461834137,24080.1590015,0.0369048476297
Afghanistan,AFG,2000,139.884297523,2995.9206396,12924.6500715,11032.3139048,0.80294601084,4871.28314138,1651.88688783,5507.4791721,6324.58612945,9979.74363123,6061.91430057,8.78363471696,1.40451688608,85.9258528603,24426.4327539,0.0492589127488
Afghanistan,AFG,2005,160.08911274,3160.64002064,8354.25286776,12363.4984678,1.07561627168,5936.05375104,1980.18424692,6462.68182742,7446.46769547,12262.9516512,6770.87583174,13.9115825687,2.29690112785,129.522271297,22113.1079584,0.133538768823
Afghanistan,AFG,2006,146.318718114,2981.79475725,8084.96657741,12136.6346594,1.08276380988,5530.91858664,1863.23093349,5928.76641301,6840.88455728,11593.0032918,6510.6842527,13.3545096384,2.21159038329,123.846960872,21141.3843036,0.138629443651
Afghanistan,AFG,2010,64.6825983022,1817.56864325,9171.96655719,10820.7411188,1.0646565412,2874.58669203,1165.53441213,2844.41370797,3314.15327396,6428.27881423,3883.98445665,6.02718643534,1.11722644793,63.2568289768,16889.919997,0.0880114109954
Afghanistan,AFG,2016,72.3580492,1849.40171003,3958.30541843,10754.7307844,1.1982261862,3004.38553555,1374.39724098,2726.35898655,3242.3938031,6948.30594979,5155.81552188,11.9555373135,1.72121433406,95.9370502979,12315.5875502,0.223300979092
Albania,ALB,1990,4.31603253287,226.373102529,293.810378468,285.219617577,0.0108464432128,54.3717507772,343.584336904,39.9341273776,54.1471967894,581.925525871,242.141215455,0.273182242413,0.131206585012,1.17557122885,1233.72200646,0.0284879534856
Albania,ALB,1995,2.2870771802,151.654824812,162.71861904,248.230739339,0.00945125384347,37.2187132181,258.090440742,23.8832300792,31.4901268449,421.85138207,158.366419638,0.425921903465,0.13496113323,1.13993590401,852.590190664,0.0376289706134
Albania,ALB,2000,0.725039296581,55.6638136213,86.7375503035,165.082986348,0.00714997207986,11.1905432974,94.7502005706,6.38159743502,9.07591498099,148.345999009,57.9884156013,0.218883702769,0.0827102350014,0.59780709355,322.019198135,0.0318911022587
