Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),No access to handwashing facility (deaths),Unsafe water source (deaths),Poor sanitation (deaths),Smoking (deaths),Secondhand smoke (deaths),Low physical activity (deaths),Diet low in fruits (deaths),Diet low in vegetables (deaths),Unsafe sex (deaths),High body-mass index (obesity) (deaths),Household air pollution (deaths),Outdoor air pollution (deaths),High total cholesterol (deaths),High blood pressure (deaths),High blood sugar (deaths)
Afghanistan,AFG,1990,253.726720461,67.3355775458,200.540364853,76.1553049544,112.729204911,109.952823937,96.3551320201,2053.6850696,294.739467515,428.318001555,1877.11188233,1558.58604903,168.830476683,2910.13562384,3016.89679652,2006.49846017,2621.09181242,3151.65784963,2113.77629222
Afghanistan,AFG,1995,354.800405704,101.396423815,305.543374288,107.805532939,164.312643029,163.441412568,143.129698943,3094.63054059,491.258661662,628.155180444,2852.72538022,2379.57853193,245.918029912,3972.84321248,4454.84158398,2906.0850759,3903.95558684,4738.20590108,3094.58350349
Afghanistan,AFG,2000,388.137040415,115.711852896,378.403300167,127.540997084,192.557275642,184.883233108,161.687408636,3757.90301376,616.0676443,735.365845744,3498.22099276,2841.10922235,284.857277498,4395.02901352,5280.8068676,3467.58194499,4580.09035146,5726.30761967,3795.63065368
Afghanistan,AFG,2005,471.643837899,142.015626755,516.843178778,184.866584985,223.724213265,200.105276994,173.861012405,4537.789004,726.575756651,881.0680406,4194.67175432,3345.088291,337.02086435,5634.6719443,6014.1703532,3803.11085403,5434.0623816,6815.35092614,4643.86747626
Afghanistan,AFG,2006,477.769404315,143.801477485,535.98736442,200.53118505,224.626366496,198.582208837,172.18604139,4653.88086312,739.316803535,901.241772465,4283.45946046,3410.78620785,345.361983806,5925.9032387,6085.2742154,3905.80450562,5566.67942878,6955.77514828,4744.14461178
Afghanistan,AFG,2010,478.591590688,155.166301779,599.088120145,295.487246073,214.701117018,177.019522026,151.770000999,4953.97542297,839.732591868,959.127043041,4435.11580528,3540.56673109,367.522276463,6893.03660468,6077.94494379,4168.77473179,5878.34357697,7190.29569223,5044.89070301
Afghanistan,AFG,2016,432.765427234,187.919080051,775.662819322,465.15396999,226.562474852,161.920258223,135.718767049,5888.61194124,1029.76690925,1151.53133532,5128.11918042,4123.91570719,452.3072002,8501.94483278,6710.99811855,5402.92874361,6999.66538408,8465.83941261,6391.02518744
Albania,ALB,1990,1.37571687859,3.29103864701,19.3726492787,106.157578257,1.70867640164,1.29211451612,0.950156404371,195.664902711,28.3941363364,14.556126238,107.122252883,51.6614416972,18.506553018,123.223386454,127.173728949,74.4924019378,142.561732516,237.576861108,36.163200718
Albania,ALB,1995,0.622377714739,3.14854910851,23.904899733,134.514600499,1.44468526137,1.14858031107,0.87518560468,207.313356471,29.3245936143,15.5497423728,110.382301503,39.7784273025,19.5546313751,133.560731763,125.437962866,70.8824580489,151.399666702,244.631786393,37.932816491
Albania,ALB,2000,0.440457037602,3.54679750297,33.5590801488,181.053016532,1.03257248191,0.825794128077,0.585547142227,288.469208569,34.0343258795,21.8878806515,136.464176655,37.9322193097,22.801213463,188.668906623,148.758213566,91.4898626124,214.093769794,332.375082194,50.113976093
Albania,ALB,2005,0.40830607113,3.41248985457,36.4178466614,188.583545101,0.69948320106,0.63156494403,0.379972469063,322.954361836,37.5000122355,26.9440283528,138.956702588,40.9539984113,24.1339654175,237.138823934,142.356388148,96.6418920161,263.592342671,395.507072241,55.9040774402
Albania,ALB,2006,0.379949527032,3.32449002196,35.7880698199,187.623979721,0.647006215609,0.595179774593,0.354804682452,316.244854152,36.7263276988,26.929606738,133.801773344,39.0842858047,24.0854092665,238.537309914,131.039393892,98.205369123,263.624461532,392.817441123,54.4696932913
Albania,ALB,2010,0.247150810592,2.99055981467,32.2710825314,171.444601043,0.493271336634,0.479733849578,0.278348819568,269.06293695,29.8095605428,24.1362834257,100.261035293,17.3188439513,20.7110467738,220.842873596,86.100231386,94.9180121996,233.852365147,346.584300929,46.3030950525
