Entity,Code,Year,Iron deficiency (deaths),Low bone mineral density (deaths),Drug use (deaths),Alcohol use (deaths),No access to handwashing facility (deaths),Poor sanitation (deaths),Unsafe sex (deaths),Smoking (deaths),Secondhand smoke (deaths),Unsafe water source (deaths),Diet low in vegetables (deaths),Diet low in fruits (deaths),Low physical activity (deaths),Outdoor air pollution (deaths),Household air pollution (deaths),High body-mass index (obesity) (deaths),High blood sugar (deaths),High total cholesterol (deaths),High blood pressure (deaths)
Afghanistan,AFG,1990,0.490798378778,113.075354207,74.6193437,6.88052684601,86.9985710602,52.9987695498,140.41870485,3497.16064064,678.720191154,60.3150008057,2517.5042621,2798.93905499,1217.17745569,3551.02288848,5507.56491464,5343.2157057,7339.01905211,4953.01478214,8466.23342996
Afghanistan,AFG,1995,1.18604578333,176.928544398,150.099147513,12.0936578461,131.162730651,80.0834356572,206.720805684,5519.81076128,1145.93533168,91.2790415682,4031.34615748,4477.60045339,1842.96633794,5365.1393258,8450.98551088,7627.36705177,11088.3217503,7729.85656907,12992.7743484
Afghanistan,AFG,2000,0.928016072977,207.067469403,213.997642944,-10.3276878991,155.884771743,90.6288967497,248.932682091,6799.48099842,1482.09568146,103.611332482,4916.46128347,5660.80006449,2200.6534565,6541.92463944,10233.9680688,8545.06277458,13685.266014,9330.52159541,16005.8432649
Afghanistan,AFG,2005,0.592893893722,265.078599476,309.423608629,-102.648546999,182.94413308,95.5694772525,290.102700689,8483.81598364,1795.00576721,109.942125943,5864.34750199,6973.87070875,2688.79102258,7316.54849964,11814.0798115,11237.9277895,17075.4640551,11192.2138615,19558.0342568
Afghanistan,AFG,2006,0.579716821268,269.949028591,326.715836312,-125.392137441,185.701505252,95.0770536175,294.671478333,8730.74927065,1832.8465196,109.57025794,5993.69141562,7129.98069804,2756.15761145,7531.55206652,11966.3419779,11858.001728,17659.6293838,11474.6410548,20016.0014387
Afghanistan,AFG,2010,0.566683994566,297.910159645,398.361635076,-176.932649803,189.835498361,87.2824539619,305.125070719,9416.09661339,2105.56753376,101.70255299,6298.74296254,7470.49046114,2977.08887599,8180.89381515,12097.7081982,14003.5065117,19462.2646823,12196.4363415,21152.9118557
Afghanistan,AFG,2016,0.610729481113,353.489997468,563.264800349,-166.003423168,195.542789615,72.8684987554,330.146453331,11005.5586387,2475.47388873,86.7645300622,7073.25493524,8402.90265607,3443.16198915,10255.2788609,12803.0876687,15795.1478423,23398.8478366,13844.4433231,24020.201566
Albania,ALB,1990,0.05754190655,11.1604130004,27.6707342095,169.771661053,2.77988113724,0.927441999483,18.8271657784,976.85229887,94.0446180842,1.2556266152,166.180787222,381.022138917,86.5338876305,294.961390869,504.953542701,447.889746267,207.808394827,523.71062817,1194.5567887
Albania,ALB,1995,0.065469031403,11.731130361,37.429758122,225.928768775,2.51043224907,1.01425836507,19.6212989295,1059.08829791,101.111102944,1.32766866838,125.900280778,399.98673117,94.5675308937,288.496282405,512.333633207,498.928226488,233.940455126,564.150630292,1278.00629002
Albania,ALB,2000,0.0710578860298,11.4350693654,49.1123729118,328.159423844,1.60563041803,0.664820574335,21.3585045082,1164.87276189,110.207767328,0.936343753508,96.9518795894,394.992576456,111.395410966,310.586612837,510.803969412,591.855853318,274.748524708,655.211991052,1430.48029114
Albania,ALB,2005,0.0796598870181,11.5264105782,54.7308149903,455.5597905,1.17119954735,0.491565435014,26.8052330857,1245.85332777,123.634785031,0.816294431396,104.750380876,365.142738922,134.430106345,321.965518282,479.74241985,715.925345359,316.17437683,786.006496306,1645.38713597
Albania,ALB,2006,0.0818688689755,11.4032155078,54.8278380251,466.039052966,1.1004763026,0.473191392013,27.9350906315,1234.56272223,121.762061073,0.792943854572,100.21434174,351.979048823,134.781845295,329.5987909,443.177174027,723.396112549,313.902516977,788.582962148,1641.42286931
Albania,ALB,2010,0.0840879982618,11.738232281,58.9498779817,491.136717995,0.956785045046,0.430138030374,30.3949786121,1216.7386104,115.805349854,0.740794226446,48.0152876572,285.48456651,136.342554622,365.265351631,329.009207488,770.576402979,310.409263106,793.414780652,1637.51903212
Albania,ALB,2016,0.0876831377499,13.0124535593,72.4256461082,530.885317655,0.917250736338,0.369717763371,31.8285914212,1358.92614434,124.361472954,0.711662210548,45.0375112505,281.172972323,146.630502927,382.285566144,288.262613443,891.025849699,348.917989499,842.096975071,1747.42090691
Algeria,DZA,1990,0.399106062998,163.962505364,78.2908890528,210.354400324,32.3949162306,30.6572257658,234.919205398,4198.14928536,980.579489916,46.5162924497,1697.70782911,2324.38715041,1092.68804256,2568.67493772,771.139592357,4049.08385476,4177.95969431,4237.25904513,7234.19143653
Algeria,DZA,1995,0.498743482929,178.570196787,103.785772655,175.162473746,32.3008200748,20.3494862616,246.17653534,4310.90923612,983.61721688,34.5288386598,1754.35648857,2504.35288679,1197.67669328,2739.38558712,524.057750148,4705.56686758,4595.68622095,4412.82885613,7844.5903058
Algeria,DZA,2000,0.600901089198,207.831552641,149.319408764,236.43184855,41.9013919182,16.1696109964,220.873485454,4250.89984689,1038.22814727,30.2810635043,1787.16818341,2620.32404483,1317.58270117,2951.09685354,329.140377169,5584.54539368,5092.12357699,4614.300068,8437.92666041
Algeria,DZA,2005,0.653433279841,236.724370353,223.790482874,397.740067911,45.2569623816,13.0437660185,275.188823038,4263.11374651,1072.02446385,29.014296179,1543.10263909,2494.23779863,1361.1304935,2911.65295545,147.453674551,7012.53248826,5734.54010554,4576.98298898,8263.09662838
Algeria,DZA,2006,0.652664641685,241.726017019,238.544584963,414.122627157,44.5940364498,12.4192841559,291.095093176,4223.52559424,1108.25457599,28.8464327993,1475.756602,2436.72526054,1371.49212065,2910.85223824,127.086238736,7284.58163831,5926.26149684,4623.82188619,8273.88531252
Algeria,DZA,2010,0.723547030729,264.173712767,308.210434753,444.589826476,42.705463005,10.6092413979,297.088505993,4281.34159723,1270.93609802,29.0699075572,1270.76713687,2308.14171202,1469.91234227,2979.83875343,69.9824199628,8541.6290769,6997.28908292,4991.30212213,8875.10967719
Algeria,DZA,2016,0.944271737025,323.923004453,459.874953328,523.324183943,44.8297651641,9.71628202031,326.242772453,4954.45235327,1593.09206811,30.8370736427,1371.55977392,2614.40974689,1820.95895753,4092.20423952,36.1382806781,11138.3371845,9168.32621179,6362.68760216,11211.9262711
American Samoa,ASM,1990,0.000717360722177,0.170072011763,0.161875538351,0.828386570911,0.113681651997,0.0810259476718,0.349020446777,16.4224017694,1.45066687295,0.143762302226,3.76978869458,3.65829539884,2.23593289572,0.980991276977,4.16417464664,24.8877063249,20.5091733846,7.55089719087,20.7035980884
American Samoa,ASM,1995,0.000765526927931,0.186798571093,0.226400705283,0.900467667857,0.105579399645,0.0684575945546,0.489901688078,17.7080687439,1.74035046411,0.127207141023,4.0366034362,3.91644179207,2.49261620679,1.05481485484,3.84877888255,29.3294364179,23.960959267,8.32007628601,22.9973415668
American Samoa,ASM,2000,0.000878723809628,0.190738893863,0.308253719362,0.898760556042,0.0999783422017,0.0529635009464,0.575286057642,18.0037214696,1.94553595236,0.104137321803,4.11840409193,3.95835092323,2.72426889881,1.13943638639,3.43792753103,32.7844622519,27.5734533449,8.88788014293,23.9284991819
American Samoa,ASM,2005,0.000878583999887,0.223750940898,0.405928845766,1.08108483101,0.100571888333,0.0533635205911,0.661097174022,19.8896318809,2.14880434539,0.109200907312,4.26501728552,4.20732512977,2.9873640828,1.17265080964,3.25925252656,38.0934055164,32.7483068186,9.66839361147,25.8633896039
American Samoa,ASM,2006,0.000881328485918,0.236295714074,0.422317116575,1.15279806607,0.0996757035254,0.0538541397692,0.685892852222,19.9258979801,2.16141373249,0.110930469678,4.31985335308,4.25616545166,3.00839263269,0.784166650642,3.17096830122,38.5490331539,33.1273748151,9.80881126786,26.2929587962
American Samoa,ASM,2010,0.000976178068911,0.241985171126,0.490130817805,1.33271848389,0.0983839619858,0.056684900969,0.812467496236,20.6769167954,2.30397163936,0.1182918699,4.60399507352,4.56804018003,3.2108890561,0.540625605767,2.90781678218,41.3393614503,35.8499479431,10.579711999,28.1744501185
