,Country,ID,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
0,Afghanistan,AFG,19.4,19.200001,18.799999,18.4,17.9,17.4,17.0,16.299999,15.9,16.0,15.7,16.1,16.0,17.299999,18.6,20.1,21.9,23.6,25.200001,27.0,28.9,30.700001,32.5,34.299999,35.900002,37.5,39.0,40.299999,41.400002,42.299999,43.200001
1,Albania,ALB,21.200001,20.6,20.200001,19.700001,19.6,20.200001,21.4,22.799999,24.1,24.700001,27.1,29.200001,32.299999,36.200001,38.0,39.799999,41.5,43.299999,45.299999,47.5,49.5,50.599998,50.900002,51.400002,52.099998,52.799999,53.299999,53.700001,53.599998,53.299999,53.200001
2,Algeria,DZA,19.4,18.6,17.9,16.6,16.4,16.5,16.700001,17.1,18.0,19.4,21.700001,24.1,26.0,27.5,29.1,30.6,31.799999,32.700001,33.700001,35.099998,37.0,38.799999,40.400002,41.700001,42.700001,43.299999,43.799999,44.400002,45.299999,46.299999,47.200001
3,Angola,AGO,19.799999,18.799999,17.9,16.799999,16.700001,16.6,16.200001,16.0,15.8,16.0,16.200001,16.299999,16.299999,16.4,16.799999,17.4,18.1,18.799999,19.5,20.200001,21.1,22.1,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0
4,Antigua and Barbuda,ATG,20.6,20.0,18.1,18.200001,18.700001,19.799999,21.799999,23.4,24.4,26.700001,28.299999,28.5,29.299999,30.700001,32.099998,33.5,35.099998,36.700001,38.200001,39.5,40.5,41.299999,42.099998,43.0,43.900002,44.799999,45.5,46.099998,46.5,46.900002,47.299999
5,Argentina,ARG,25.700001,26.299999,26.9,27.200001,27.4,27.4,27.299999,27.299999,27.200001,27.4,27.9,28.700001,29.9,30.799999,31.9,33.0,34.099998,35.099998,36.200001,37.400002,38.5,39.700001,40.799999,41.799999,42.799999,43.599998,44.400002,45.099998,45.799999,46.400002,46.900002
6,Armenia,ARM,22.4,22.700001,22.4,20.6,20.299999,21.799999,23.5,25.299999,27.200001,29.4,30.6,31.799999,32.900002,33.900002,35.700001,38.0,40.400002,42.599998,44.299999,45.0,45.5,46.599998,48.0,49.299999,50.299999,50.700001,50.400002,50.0,50.0,50.299999,50.599998
7,Aruba,ABW,18.5,18.1,18.1,19.1,20.799999,23.9,26.0,28.0,31.200001,32.5,34.400002,36.200001,38.400002,40.099998,41.200001,41.5,41.099998,41.700001,42.5,43.400002,44.0,44.5,44.299999,44.299999,44.700001,45.5,46.200001,46.700001,46.900002,46.799999,46.900002
8,Australia,AUS,30.4,30.200001,29.6,28.4,27.4,28.1,29.299999,30.700001,32.099998,33.599998,35.400002,36.599998,36.900002,37.400002,37.900002,38.900002,39.799999,40.599998,41.0,41.200001,41.5,41.900002,42.5,43.099998,43.700001,44.099998,44.5,44.900002,45.400002,46.099998,46.700001
9,Austria,AUT,35.700001,35.099998,35.400002,34.700001,33.599998,33.900002,35.0,35.799999,36.5,36.299999,38.200001,40.0,41.900002,43.200001,44.400002,45.299999,46.5,47.700001,48.799999,49.700001,49.900002,49.5,49.099998,48.900002,49.0,49.200001,49.299999,49.200001,49.099998,49.099998,49.400002
