,Country,ID,2015,2015
0,Afghanistan,AFG,63.287998,7.431500244
1,Albania,ALB,78.174004,1.532299995
2,Algeria,DZA,75.860001,2.957799911
3,Angola,AGO,61.241001,9.391500092
4,Antigua and Barbuda,ATG,76.207001,1.052999973
5,Argentina,ARG,76.415001,1.499499989
6,Armenia,ARM,74.445,1.455700016
7,Aruba,ABW,75.724998,1.652000046
8,Australia,AUS,82.725998,0.415799999
9,Austria,AUT,81.419998,0.329900002
10,Azerbaijan,AZE,71.920998,3.342399979
11,Bahamas,BHS,75.527,1.250800037
12,Bahrain,BHR,76.761002,0.816699982
13,Bangladesh,BGD,72.154999,3.647900009
14,Barbados,BRB,75.754997,1.015400028
15,Belarus,BLR,72.748001,0.411600018
16,Belgium,BEL,80.963997,0.388400006
17,Belize,BLZ,70.192001,1.49989996
18,Benin,BEN,60.639,10.04580002
19,Bhutan,BTN,69.817001,3.289099884
20,Bolivia,BOL,68.755997,6.556600189
21,Bosnia and Herzegovina,BIH,76.735001,0.814400005
22,Botswana,BWA,65.846001,3.841400146
23,Brazil,BRA,75.283997,1.65
24,Brunei,BRN,77.045998,0.728000021
25,Bulgaria,BGR,74.617996,0.919099998
26,Burkina Faso,BFA,59.926998,8.992900085
27,Burundi,BDI,57.094002,11.59560013
28,Cambodia,KHM,68.620003,2.944599915
29,Cameroon,CMR,57.582001,9.616600037
30,Canada,CAN,82.206001,0.521700001
31,Cape Verde,CPV,72.598999,2.501300049
32,Central African Republic,CAF,51.41,13.91920013
33,Chad,TCD,52.575001,13.84550018
34,Channel Islands,OWID,80.958,0.874100018
35,Chile,CHL,79.315002,0.819400024
36,China,CHN,76.092003,1.224699974
37,Colombia,COL,74.199997,2.3625
38,Comoros,COM,63.473,7.343199921
39,Congo,COG,64.112,5.940200043
40,Costa Rica,CRI,79.634003,1.109399986
41,Cote d'Ivoire,CIV,53.053001,9.027300262
42,Croatia,HRV,77.475998,0.448999977
43,Cuba,CUB,79.57,0.648500013
44,Curacao,CUW,78.264,1.132499981
45,Cyprus,CYP,80.344002,0.461399984
46,Czech Republic,CZE,78.580002,0.290400004
47,Democratic Republic of Congo,COD,59.205002,10.73190002
48,Denmark,DNK,80.586998,0.377900004
49,Djibouti,DJI,62.259998,7.941300201
50,Dominican Republic,DOM,73.672997,2.633600044
51,Ecuador,ECU,76.101997,2.399399948
52,Egypt,EGY,71.304001,2.179999924
53,El Salvador,SLV,73.266998,1.803700066
54,Equatorial Guinea,GNQ,57.433998,10.07600021
55,Eritrea,ERI,64.636002,5.088100052
56,Estonia,EST,77.383003,0.387599993
57,Ethiopia,ETH,65.037003,6.050600052
58,Fiji,FJI,70.116997,1.838299942
59,Finland,FIN,81.148003,0.237199998
60,France,FRA,82.369003,0.370600009
61,French Guiana,GUF,79.737,1.070199966
62,French Polynesia,PYF,76.627998,0.678499985
63,Gabon,GAB,65.684998,5.225799942
64,Gambia,GMB,60.953999,7.096900177
65,Georgia,GEO,73.096001,1.150300026
66,Germany,DEU,80.848,0.327800012
67,Ghana,GHA,62.448002,6.305799866
68,Greece,GRC,81.043999,0.372000003
69,Grenada,GRD,73.530998,1.229800034
70,Guadeloupe,GLP,81.124001,0.584499979
71,Guam,GUM,79.378998,1.033199978
72,Guatemala,GTM,73.150002,2.969400024
73,Guinea,GIN,59.418999,9.115000153
74,Guinea-Bissau,GNB,57,12.56100006
75,Guyana,GUY,66.536003,3.966500092
76,Haiti,HTI,63.055,7.309200287
77,Honduras,HND,73.375999,3.787599945
78,Hong Kong,HKG,83.801003,0.234100008
79,Hungary,HUN,75.809998,0.52750001
80,Iceland,ISL,82.586998,0.205800009
81,India,IND,68.302002,4.800299835
82,Indonesia,IDN,69.025002,2.784199905
83,Iran,IRN,75.730003,1.542300034
84,Iraq,IRQ,69.671997,3.501699829
85,Ireland,IRL,81.306999,0.3148
86,Israel,ISR,82.334999,0.37809999
87,Italy,ITA,82.808998,0.311800003
88,Jamaica,JAM,75.835999,1.674500084
89,Japan,JPN,83.622002,0.284800005
90,Jordan,JOR,74.181999,1.847299957
91,Kazakhstan,KAZ,69.692001,1.535000038
92,Kenya,KEN,66.695,5.036999893
93,Kiribati,KIR,66.129997,5.747499847
94,Kuwait,KWT,74.577003,0.990499973
95,Kyrgyzstan,KGZ,70.801003,2.063299942
96,Laos,LAO,66.334999,5.500099945
97,Latvia,LVA,74.431,0.699700022
98,Lebanon,LBN,79.408997,1.012300014
99,Lesotho,LSO,53.744999,7.149900055
100,Liberia,LBR,62.007,7.08259964
101,Libya,LBY,71.776001,2.695400047
102,Lithuania,LTU,74.481003,0.492299986
103,Luxembourg,LUX,81.629997,0.379699993
104,Macao,MAC,83.699997,0.37750001
105,Macedonia,MKD,75.549004,0.947999954
106,Madagascar,MDG,65.539001,4.897900009
107,Malawi,MWI,62.660999,7.852600098
108,Malaysia,MYS,75.142998,0.744500017
109,Maldives,MDV,77.042,0.871000004
110,Mali,MLI,57.478001,11.43359985
111,Malta,MLT,80.694,0.529899979
112,Martinique,MTQ,81.776001,0.673099995
113,Mauritania,MRT,63.082001,8.90039978
114,Mauritius,MUS,74.569,1.339500046
115,Mayotte,MYT,79.914001,0.436399984
116,Melanesia,OWID,66.544998,5.426499939
117,Mexico,MEX,76.932999,2.188100052
118,Moldova,MDA,69.078003,1.543700027
119,Mongolia,MNG,71.468002,2.516900063
120,Montenegro,MNE,69.086998,0.624800014
121,Morocco,MAR,76.938004,2.918499947
122,Mozambique,MOZ,75.572998,9.847799683
123,Myanmar,MMR,57.714001,5.45929985
124,Namibia,NAM,66.463997,4.087400055
125,Nepal,NPL,63.782001,3.528099823
126,Netherlands,NLD,69.887001,0.35250001
127,New Caledonia,NCL,81.709999,1.413199997
128,New Zealand,NZL,76.759003,0.507999992
129,Nicaragua,NIC,81.728996,2.143400002
130,Niger,NER,75.149002,11.01709976
131,Nigeria,NGA,59.667,11.20830002
132,North Korea,PRK,52.985001,2.114500046
133,Norway,NOR,71.457001,0.250699997
134,Oman,OMN,82.015999,1.023700047
135,Pakistan,PAK,76.801003,8.284999847
136,Palestine,PSE,66.321999,2.208699989
137,Panama,PAN,73.299004,1.872599983
138,Papua New Guinea,PNG,77.806,6.044800186
139,Paraguay,PRY,65.384003,3.393500137
140,Peru,PER,73.023003,2.679400063
141,Philippines,PHL,74.747002,2.726099968
142,Poland,POL,68.950996,0.493900013
143,Polynesia,OWID,77.448997,1.679999924
144,Portugal,PRT,75.079002,0.279500008
145,Puerto Rico,PRI,81.028999,0.666200018
146,Qatar,QAT,79.75,0.806599998
147,Reunion,REU,78.036003,0.43670001
148,Romania,ROU,80.089996,0.941399956
149,Russia,RUS,75.296997,0.930500031
150,Rwanda,RWA,70.918999,5.574700165
151,Saint Lucia,LCA,66.695999,1.368099976
152,Saint Vincent and the Grenadines,VCT,75.300003,1.985000038
153,Samoa,WSM,73.059998,2.010300064
154,Sao Tome and Principe,STP,74.769997,6.102199936
155,Saudi Arabia,SAU,66.487999,1.404399967
156,Senegal,SEN,74.400002,4.772900009
157,Serbia,SRB,66.783997,1.061400032
158,Seychelles,SYC,73.348999,1.149600029
159,Sierra Leone,SLE,51.423,12.20490036
160,Singapore,SGP,82.848999,0.242600012
161,Slovakia,SVK,76.713997,0.639300013
162,Slovenia,SVN,80.797997,0.288899994
163,Solomon Islands,SLB,70.43,3.244499969
164,Somalia,SOM,55.875999,12.29599991
165,South Africa,ZAF,61.980999,4.082799911
166,South Korea,KOR,81.924004,0.331100011
167,South Sudan,SSD,56.321999,11.27929993
168,Spain,ESP,82.983002,0.314299989
169,Sri Lanka,LKA,75.087997,0.870300007
170,Sudan,SDN,64.257004,7.013600159
171,Suriname,SUR,71.278999,2.156900024
172,Swaziland,SWZ,57.106998,6.384799957
173,Sweden,SWE,82.299004,0.258800006
174,Switzerland,CHE,83.139,0.409000015
175,Syria,SYR,69.903999,1.972900009
176,Taiwan,TWN,79.728996,0.491200018
177,Tajikistan,TJK,70.878998,4.513800049
178,Tanzania,TZA,64.949997,5.824499893
179,Thailand,THA,75.102997,1.189500046
180,Timor,TLS,68.569,4.965100098
181,Togo,TGO,59.949001,7.941000366
182,Tonga,TON,72.879997,2.363999939
183,Trinidad and Tobago,TTO,70.556,2.964699936
184,Tunisia,TUN,75.525002,1.879400063
185,Turkey,TUR,75.498001,1.64489994
186,Turkmenistan,TKM,67.704002,5.329499817
187,Uganda,UGA,59.575001,8.690899658
188,Ukraine,UKR,71.767998,0.921899986
189,United Arab Emirates,ARE,77.100998,0.66869998
190,United Kingdom,GBR,81.405998,0.458699989
191,United States,USA,79.244003,0.652799988
192,United States Virgin Islands,VIR,79.573997,1.018900013
193,Uruguay,URY,77.341003,1.412199974
194,Uzbekistan,UZB,71.192001,3.375600052
195,Vanuatu,VUT,71.925003,2.686700058
196,Venezuela,VEN,74.366997,1.495199966
197,Vietnam,VNM,76.052002,2.246699905
198,Western Sahara,ESH,69.212997,3.776100159
199,World,OWID,71.429001,4.495899963
200,Yemen,YEM,64.742996,5.86230011
201,Zambia,ZMB,61.396999,7.28730011
202,Zimbabwe,ZWE,60.397999,6.179700089
