,Country,ID,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0,Iraq,IRQ,-3.18,-2.69,-2.83,-2.77,-2.1,-2.33,-2.24,-1.85,-1.93,-2.01,-2.48
1,Libya,LBY,0.36,0.45,0.36,0.75,0.81,0.83,0.03,-1.29,-1.59,-1.84,-2.35
2,Somalia,SOM,-2.88,-2.71,-2.75,-3.22,-3.28,-3.31,-3.13,-3.08,-2.86,-2.76,-2.52
3,Pakistan,PAK,-1.55,-1.75,-2.03,-2.77,-2.57,-2.64,-2.68,-2.81,-2.68,-2.6,-2.4
4,Syria,SYR,-0.29,-0.46,-0.28,-0.34,-0.34,-0.51,-0.81,-2.01,-2.68,-2.68,-2.75
5,Afghanistan,AFG,-2.3,-2.07,-2.22,-2.41,-2.69,-2.71,-2.58,-2.5,-2.42,-2.522,-2.41
6,Yemen,YEM,-1.55,-1.44,-1.35,-1.54,-2.01,-2.33,-2.42,-2.43,-2.43,-2.37,-2.67
7,North Korea,PRK,0.22,0.02,-0.03,0.54,0.52,-0.03,-0.3,-0.24,-0.03,-0.44,-1.13
8,South Korea,KOR,0.43,0.48,0.42,0.57,0.42,0.41,0.33,0.41,0.27,0.28,0.11
9,Japan,JPN,1.04,1.04,1.14,1.01,0.89,0.98,0.87,0.99,0.95,1.02,0.97
10,New Zealand,NZL,1.5,1.25,1.26,1.24,1.16,1.07,1.24,1.38,1.36,1.45,1.47
11,Singapore,SGP,1.09,1.16,1.25,1.17,1.35,1.18,1.17,1.19,1.37,1.38,1.19
12,United Kingdom,GBR,0.14,0.13,0.65,0.57,0.48,0.12,0.39,0.33,0.4,0.49,0.42
13,United States,USA,-0.28,-0.06,0.49,0.38,0.59,0.45,0.44,0.59,0.63,0.64,0.58
14,Netherlands,NLD,0.02,0.99,0.9,0.78,0.87,0.94,0.94,1.11,1.19,1.14,1.05
15,Germany,DEU,0.64,0.88,1.03,1,0.95,0.86,0.8,0.83,0.78,0.93,0.93
16,India,IND,-1.28,-1.01,-1.06,-1.15,-1.11,-1.42,-1.28,-1.33,-1.29,-1.23,-1
17,Russia,RUS,-1.51,-1.27,-0.91,-0.86,-0.8,-0.99,-0.93,-1,-0.82,-0.74,-0.94
18,Iran,IRN,-0.81,-0.78,-1.04,-0.92,-1.06,-1.56,-1.64,-1.42,-1.32,-1.25,-0.87
19,China,CHN,-0.39,-0.5,-0.54,-0.5,-0.49,-0.45,-0.66,-0.6,-0.54,-0.54,-0.52
