name,Child Mortality by Income Level,Child Mortality
Afghanistan,13.7,13.12079926
Albania,2.62,2.82689991
Algeria,3.97,4.870999908
Angola,21.67,20.43800049
Argentina,2.02,2.077899933
Armenia,3.01,3.480899811
Australia,0.62,0.633699989
Austria,0.55,0.547300005
Azerbaijan,7.4,7.226300049
Bahamas,1.57,1.945599937
Bahrain,1.26,1.35170002
Bangladesh,8.8,8.71989975
Barbados,1.63,1.539400005
Belarus,1.43,1.540200043
Belgium,0.58,0.569099998
Belize,2.5,2.486300087
Benin,14.47,14.36009979
Bhutan,7.96,8.385299683
Bolivia,8.02,10.9939003
Bosnia and Herzegovina,0.92,1.185099983
Botswana,8.29,9.623799896
Brazil,3.2,3.758399963
Brunei,0.94,1.106000042
Bulgaria,2.1,1.749300003
Burkina Faso,18.57,18.35
Burundi,15.22,15.81499939
Cambodia,10.83,10.42600021
Cameroon,15.04,15.4451004
Canada,0.62,0.62329998
Cape Verde,3.55,3.711100006
Central African Republic,17.48,18.69680023
Chad,19.02,18.54700012
Chile,1.09,1.150699997
China,3.69,3.669599915
Colombia,2.51,3.074099922
Comoros,10.11,10.15630035
Congo,12.16,13.39120026
Costa Rica,1.3,1.420300007
Cote d'Ivoire,14.56,13.70650024
Croatia,0.83,0.769700003
Cuba,0.84,0.885599995
Cyprus,0.66,0.750400019
Czech Republic,0.66,0.561600018
Democratic Republic of Congo,16.1,17.82660065
Denmark,0.56,0.572599983
Djibouti,10.08,10.87979965
Dominican Republic,4.13,4.217499924
Ecuador,3.44,3.883300018
Egypt,4.65,4.170800018
El Salvador,3.24,3.056200027
Equatorial Guinea,15.21,15.25570068
Eritrea,8.91,9.227799988
Estonia,1.1,1.19460001
Ethiopia,14.51,13.88609924
Fiji,2.45,2.58560009
Finland,0.43,0.428499985
France,0.54,0.540500021
Gabon,8.53,8.817299652
Gambia,11.88,11.68639984
Georgia,3.57,3.594499969
Germany,0.54,0.537699986
Ghana,10.07,9.89260025
Greece,0.78,0.643300009
Grenada,1.6,1.743899918
