name,Life Expectancy,Child Mortality,Maternal Mortality,Health Expenditure as a share of GDP,Cancer affected population (%)
Afghanistan,63.287998,7.431500244,425,8.18227382,0.2238304564
Albania,78.174004,1.532299995,29,5.88310543,0.34322375
Algeria,75.860001,2.957799911,141,7.20717804,0.1838801457
Angola,61.241001,9.391500092,493,8.12713561,0.658550201
Antigua and Barbuda,76.207001,1.052999973,54,3.30698293,1.3892437189
Argentina,76.415001,1.499499989,26,5.54168311,0.2365992609
Armenia,74.445,1.455700016,6,4.78591616,0.8921858763
Aruba,75.724998,1.652000046,4,4.48014942,0.7069363921
Australia,82.725998,0.415799999,26,9.42230024,0.5746546953
Austria,81.419998,0.329900002,83,11.20547328,1.9800415982
Azerbaijan,71.920998,3.342399979,15,6.0368632,1.1978453272
Bahamas,75.527,1.250800037,188,7.74236489,0.4101095916
Bahrain,76.761002,0.816699982,28,4.98079638,1.1413640612
Bangladesh,72.154999,3.647900009,4,2.81899856,0.3481812336
Barbados,75.754997,1.015400028,7,7.469303,0.1967090296
Belarus,72.748001,0.411600018,28,5.68772158,1.2285963363
Belgium,80.963997,0.388400006,414,10.5947509,0.6823702297
Belize,70.192001,1.49989996,156,5.78895004,1.3936700638
Benin,60.639,10.04580002,215,4.59429651,0.4352457723
Bhutan,69.817001,3.289099884,12,3.57301481,0.1773784102
Bolivia,68.755997,6.556600189,134,6.33482729,1.2889736401
Bosnia and Herzegovina,76.735001,0.814400005,46,9.57201597,0.1496623309
Botswana,65.846001,3.841400146,23,5.41200262,0.4002561229
Brazil,75.283997,1.65,11,8.32283359,0.4948452705
Brunei,77.045998,0.728000021,379,2.64816289,0.4078670845
Bulgaria,74.617996,0.919099998,737,8.44291326,0.5096775357
Burkina Faso,59.926998,8.992900085,167,4.96026323,1.062494612
Burundi,57.094002,11.59560013,609,7.53556539,0.8258098449
Cambodia,68.620003,2.944599915,7,5.67563855,0.1760762363
Cameroon,57.582001,9.616600037,44,4.10367158,0.2700858113
Canada,82.206001,0.521700001,872,10.449582,0.2566030066
Cape Verde,72.598999,2.501300049,881,4.75969597,0.2158503476
Central African Republic,51.41,13.91920013,23,4.20022213,1.307345957
Chad,52.575001,13.84550018,28,3.6211644,0.3207527184
Channel Islands,80.958,0.874100018,66,7.78585767,0.2748578112
Chile,79.315002,0.819400024,344,5.54822768,0.1751587095
China,76.092003,1.224699974,452,7.20129855,0.6094651865
Colombia,74.199997,2.3625,26,6.74764314,0.5414294547
Comoros,63.473,7.343199921,665,5.15141136,0.4706801646
Congo,64.112,5.940200043,9,9.31311229,0.2768161218
Costa Rica,79.634003,1.109399986,40,5.71627357,0.2940166038
Cote d'Ivoire,53.053001,9.027300262,7,7.80324176,0.5322313332
Croatia,77.475998,0.448999977,4,11.05880043,0.2149831836
Cuba,79.57,0.648500013,717,7.36761162,1.2008017727
Curacao,78.264,1.132499981,7,7.41091154,0.8117066685
Cyprus,80.344002,0.461399984,237,4.32823361,1.1376289761
Czech Republic,78.580002,0.290400004,98,10.80495696,1.1604427266
Democratic Republic of Congo,59.205002,10.73190002,66,10.56825612,0.1945657844
Denmark,80.586998,0.377900004,34,5.48583257,1.4540616921
Djibouti,62.259998,7.941300201,54,4.37577756,0.2669183804
Dominican Republic,73.672997,2.633600044,351,9.16108824,1.0136557883
Ecuador,76.101997,2.399399948,524,5.64211505,0.3877974498
Egypt,71.304001,2.179999924,9,6.77240285,0.3633379123
El Salvador,73.266998,1.803700066,378,3.80407904,0.2190439883
Equatorial Guinea,57.433998,10.07600021,31,3.33829318,0.3353195057
Eritrea,64.636002,5.088100052,3,6.37929421,0.3310763874
Estonia,77.383003,0.387599993,9,4.88431325,0.2957810134
Ethiopia,65.037003,6.050600052,295,4.48749874,1.0751940581
Fiji,70.116997,1.838299942,719,9.67990894,0.2738798276
Finland,81.148003,0.237199998,37,11.53951975,0.6160632784
France,82.369003,0.370600009,6,3.43747162,1.2261934978
French Guiana,79.737,1.070199966,322,7.34040076,1.1925818527
French Polynesia,76.627998,0.678499985,3,7.4166592,0.3137868174
Gabon,65.684998,5.225799942,27,11.29700067,0.1428846934
Gambia,60.953999,7.096900177,93,3.55729189,0.5084101147
Georgia,73.096001,1.150300026,688,8.08426702,1.3713015842
Germany,80.848,0.327800012,553,6.09761403,0.1902421066
Ghana,62.448002,6.305799866,233,6.20230127,0.9199439459
Greece,81.043999,0.372000003,367,5.64479793,1.0411713547
Grenada,73.530998,1.229800034,132,5.59313736,0.8667807566
Guadeloupe,81.124001,0.584499979,16,5.2478035,0.7634967225
Guam,79.378998,1.033199978,4,7.55565419,0.265682687
Guatemala,73.150002,2.969400024,181,8.72268046,0.2072243581
Guinea,59.418999,9.115000153,133,7.40078093,0.2177217054
Guinea-Bissau,57,12.56100006,26,8.85916593,0.4927247131
Guyana,66.536003,3.966500092,50,4.68508833,0.3796325649
Haiti,63.055,7.309200287,8,2.84686016,0.2653807649
Honduras,73.375999,3.787599945,5,6.8949223,1.0331712972
Hong Kong,83.801003,0.234100008,4,5.53887318,1.5162550081
Hungary,75.809998,0.52750001,90,7.78319657,0.2000169851
Iceland,82.586998,0.205800009,6,7.80830808,0.281577271
India,68.302002,4.800299835,59,9.24791783,0.3326526936
Indonesia,69.025002,2.784199905,12,5.36152479,0.2106119899
Iran,75.730003,1.542300034,525,10.22874408,1.3131498668
Iraq,69.671997,3.501699829,93,7.45299586,0.7390989955
Ireland,81.306999,0.3148,4,4.35593983,1.4164521899
Israel,82.334999,0.37809999,77,5.72029126,0.711011344
Italy,82.808998,0.311800003,213,10.21295042,1.0051694973
Jamaica,75.835999,1.674500084,18,3.04236844,0.3455404071
Japan,83.622002,0.284800005,16,6.48376219,0.4686588893
Jordan,74.181999,1.847299957,513,1.86554551,0.1893429156
Kazakhstan,69.692001,1.535000038,741,5.88069354,0.208106971
Kenya,66.695,5.036999893,9,6.39370883,0.4222144354
Kiribati,66.129997,5.747499847,10,10.61767672,0.2535815034
Kuwait,74.577003,0.990499973,10,10.03633328,0.2583729052
Kyrgyzstan,70.801003,2.063299942,8,4.96893503,0.9882853794
Laos,66.334999,5.500099945,369,6.55211709,0.9091872495
Latvia,74.431,0.699700022,638,6.93787356,0.3994028613
Lebanon,79.408997,1.012300014,41,6.47637457,0.1867226543
Lesotho,53.744999,7.149900055,69,3.04135502,0.4844194589
Liberia,62.007,7.08259964,601,11.37795606,1.1742745371
Libya,71.776001,2.695400047,9,4.16907804,1.564241097
Lithuania,74.481003,0.492299986,629,13.73352009,0.6788726158
Luxembourg,81.629997,0.379699993,54,6.86216649,0.2742955169
Macao,83.699997,0.37750001,39,9.74992027,0.3921670832
Macedonia,75.549004,0.947999954,102,17.13572274,0.4475547172
Madagascar,65.539001,4.897900009,24,3.77269904,0.2225592836
Malawi,62.660999,7.852600098,46,4.80954464,0.1846552145
Malaysia,75.142998,0.744500017,7,6.29642103,0.9894001438
Maldives,77.042,0.871000004,126,13.70691454,0.2994376518
Mali,57.478001,11.43359985,506,10.32365569,0.1920660828
Malta,80.694,0.529899979,184,4.337683,0.431599117
Martinique,81.776001,0.673099995,273,4.73034173,0.5707402836
Mauritania,63.082001,8.90039978,275,6.41654268,0.3291867098
Mauritius,74.569,1.339500046,7,5.90777806,0.4156380248
Mayotte,79.914001,0.436399984,11,6.97558186,0.4139639529
Melanesia,66.544998,5.426499939,154,2.27575459,0.6362896141
Mexico,76.932999,2.188100052,574,8.92868766,0.2741822132
Moldova,69.078003,1.543700027,820,3.32664948,0.1884952522
Mongolia,71.468002,2.516900063,85,5.797226,0.259923155
Montenegro,69.086998,0.624800014,5,10.89729305,0.2320959175
Morocco,76.938004,2.918499947,18,11.0296101,0.1489374104
Mozambique,75.572998,9.847799683,184,9.04013941,1.7028803095
Myanmar,57.714001,5.45929985,47,5.82129922,1.7210019984
Namibia,66.463997,4.087400055,97,3.66879844,0.2348684695
Nepal,63.782001,3.528099823,220,9.71971755,0.1482609827
Netherlands,69.887001,0.35250001,134,3.55393969,0.2707766737
New Caledonia,81.709999,1.413199997,70,2.61391631,0.2714926537
New Zealand,76.759003,0.507999992,117,9.02153343,0.5885786528
Nicaragua,81.728996,2.143400002,3,8.0257236,1.5515697193
Niger,75.149002,11.01709976,10,4.26357082,0.1778850292
Nigeria,59.667,11.20830002,15,9.81442131,0.3584246069
North Korea,52.985001,2.114500046,13,5.47303468,0.2327652247
Norway,71.457001,0.250699997,31,4.7099852,0.669648455
Oman,82.015999,1.023700047,25,6.35024637,0.2593407004
Pakistan,76.801003,8.284999847,304,9.50107564,0.4762082517
Palestine,66.321999,2.208699989,49,2.18706236,0.3683737649
Panama,73.299004,1.872599983,45,5.56500913,0.3619617688
Papua New Guinea,77.806,6.044800186,53,7.07040825,0.810588027
Paraguay,65.384003,3.393500137,159,7.53155111,0.8702163298
Peru,73.023003,2.679400063,12,5.08036532,1.0657681528
Philippines,74.747002,2.726099968,323,6.71904145,0.2874260806
Poland,68.950996,0.493900013,17,8.63023974,0.8055997113
Polynesia,77.448997,1.679999924,1410,7.21510906,0.8323997954
Portugal,75.079002,0.279500008,10,6.12906486,0.2585075739
Puerto Rico,81.028999,0.666200018,6,8.35346606,0.6156236365
Qatar,79.75,0.806599998,9,4.68408481,0.7553732964
Reunion,78.036003,0.43670001,118,4.66497201,0.2391790017
Romania,80.089996,0.941399956,753,10.36881192,0.2493636587
Russia,75.296997,0.930500031,140,3.36981689,0.287884781
Rwanda,70.918999,5.574700165,12,11.08990224,0.1879414556
Saint Lucia,66.695999,1.368099976,823,4.92279194,0.8266342051
Saint Vincent and the Grenadines,75.300003,1.985000038,5,8.05404755,0.7626090376
Samoa,73.059998,2.010300064,31,9.23388628,0.2078999391
Sao Tome and Principe,74.769997,6.102199936,318,5.05106254,0.9031857142
Saudi Arabia,66.487999,1.404399967,158,8.79698456,1.1480026109
Senegal,74.400002,4.772900009,400,7.37311255,1.0544055439
Serbia,66.783997,1.061400032,4,2.73842073,0.2692971324
Seychelles,73.348999,1.149600029,5,9.02988651,0.3219459938
Sierra Leone,51.423,12.20490036,64,3.50335011,0.529151396
Singapore,82.848999,0.242600012,33,8.42877471,0.8920617997
Slovakia,76.713997,0.639300013,418,5.68746988,0.2612950409
Slovenia,80.797997,0.288899994,21,9.25193954,0.9578512067
Solomon Islands,70.43,3.244499969,231,11.92983965,0.2207613513
Somalia,55.875999,12.29599991,378,11.65926872,0.1890352373
South Africa,61.980999,4.082799911,127,3.25453108,0.5049049426
South Korea,81.924004,0.331100011,63,6.880884,0.3508452263
South Sudan,56.321999,11.27929993,63,5.58011591,1.3135899058
Spain,82.983002,0.314299989,17,4.1221644806,1.2757810638
Sri Lanka,75.087997,0.870300007,43,1.47530345,0.1595018529
Sudan,64.257004,7.013600159,356,5.24687674,1.01220303
Suriname,71.278999,2.156900024,24,5.17677064,0.1688900271
Swaziland,57.106998,6.384799957,6,5.93319696,0.2603912923
Sweden,82.299004,0.258800006,9,7.00385794,0.3506623145
Switzerland,83.139,0.409000015,14,5.41495949,0.1984357761
Syria,69.903999,1.972900009,15,2.06738625,0.1959895142
Taiwan,79.728996,0.491200018,37,16.53663877,0.4473745611
